tick,q_eff,tau,loc,coupled,m,step,phase
0,-1,-1,outer,1,2,1,2
1,-1,-1,outer,0,3,1,1
2,-1,0,,0,1,0,1
3,-1,-1,outer,1,2,1,0
4,-1,-1,middle,1,2,1,2
5,-1,-1,outer,1,2,1,1
6,-1,-1,middle,1,2,1,0
7,-1,-1,middle,0,3,1,2
8,-1,-1,outer,1,2,1,1
9,-1,-1,outer,1,2,1,0
10,-1,-1,outer,0,3,1,2
11,-1,-1,middle,1,2,-1,1
12,-1,-1,outer,1,2,1,0
13,-1,-1,outer,0,3,1,2
14,-1,-1,middle,0,3,1,1
15,-1,-1,outer,1,2,1,0
16,-1,-1,outer,1,2,1,2
17,-1,-1,outer,1,2,1,1
18,-1,-1,middle,1,2,1,0
19,-1,-1,outer,1,2,1,2
20,-1,-1,outer,0,3,1,1
21,-1,-1,middle,1,2,-1,0
22,-1,-1,outer,0,3,1,2
23,-1,-1,outer,1,2,1,1
24,-1,0,,0,1,0,1
25,-1,-1,outer,1,2,1,0
26,-1,-1,outer,0,3,1,2
27,-1,-1,middle,1,2,1,1
28,-1,-1,outer,1,2,1,0
29,-1,-1,middle,1,2,1,2
30,-1,-1,middle,1,2,1,1
31,-1,-1,outer,1,2,1,0
32,-1,-1,outer,0,3,1,2
33,-1,-1,outer,1,2,1,1
34,-1,-1,outer,0,3,1,0
35,-1,-1,outer,1,2,1,2
36,-1,-1,outer,1,2,1,1
37,-1,-1,outer,1,2,1,0
38,-1,-1,middle,1,2,1,2
39,-1,-1,outer,1,2,1,1
40,-1,-1,outer,1,2,1,0
41,-1,-1,outer,1,2,1,2
42,-1,-1,outer,1,2,1,1
43,-1,-1,outer,0,3,1,0
44,-1,-1,outer,0,3,1,2
45,-1,-1,outer,1,2,1,1
46,-1,0,,0,1,0,1
47,-1,0,,0,1,0,1
48,-1,-1,outer,1,2,1,0
49,-1,-1,middle,1,2,1,2
50,-1,-1,outer,1,2,1,1
51,-1,0,,0,1,0,1
52,-1,-1,outer,1,2,1,0
53,-1,-1,outer,1,2,1,2
54,-1,-1,outer,1,2,1,1
55,-1,-1,outer,0,3,1,0
56,-1,-1,outer,1,2,1,2
57,-1,-1,outer,1,2,1,1
58,-1,-1,outer,1,2,1,0
59,-1,-1,middle,1,2,1,2
60,-1,-1,outer,1,2,1,1
61,-1,-1,outer,1,2,1,0
62,-1,-1,outer,1,2,1,2
63,-1,-1,outer,1,2,1,1
64,-1,-1,outer,1,2,1,0
65,-1,-1,outer,1,2,1,2
66,-1,-1,outer,1,2,1,1
67,-1,-1,outer,1,2,1,0
68,-1,-1,outer,1,2,1,2
69,-1,0,,0,1,0,2
70,-1,-1,outer,1,2,1,1
71,-1,-1,outer,1,2,1,0
72,-1,-1,outer,1,2,1,2
73,-1,-1,middle,1,2,-1,1
74,-1,-1,outer,0,3,1,0
75,-1,-1,outer,0,3,1,2
76,-1,-1,outer,0,3,1,1
77,-1,-1,outer,1,2,1,0
78,-1,0,,0,1,0,0
79,-1,0,,0,1,0,0
80,-1,-1,outer,1,2,1,2
81,-1,-1,outer,0,3,1,1
82,-1,0,,0,1,0,1
83,-1,-1,outer,1,2,1,0
84,-1,-1,outer,1,2,1,2
85,-1,-1,outer,1,2,1,1
86,-1,-1,outer,1,2,1,0
87,-1,0,,0,1,0,0
88,-1,0,,0,1,0,0
89,-1,-1,middle,0,3,1,2
90,-1,0,,0,1,0,2
91,-1,-1,outer,1,2,1,1
92,-1,-1,outer,1,2,1,0
93,-1,-1,outer,1,2,1,2
94,-1,-1,outer,0,3,1,1
95,-1,-1,outer,1,2,1,0
96,-1,-1,middle,1,2,1,2
97,-1,-1,outer,1,2,1,1
98,-1,0,,0,1,0,1
99,-1,-1,outer,1,2,1,0
100,-1,-1,middle,1,2,1,2
101,-1,-1,outer,1,2,1,1
102,-1,-1,outer,1,2,1,0
103,-1,-1,outer,1,2,1,2
104,-1,-1,outer,1,2,1,1
105,-1,-1,outer,1,2,1,0
106,-1,-1,middle,0,3,1,2
107,-1,-1,outer,1,2,1,1
108,-1,-1,outer,1,2,1,0
109,-1,-1,middle,1,2,1,2
110,-1,-1,outer,1,2,1,1
111,-1,-1,outer,1,2,1,0
112,-1,-1,outer,0,3,1,2
113,-1,-1,outer,1,2,1,1
114,-1,-1,outer,1,2,1,0
115,-1,-1,outer,1,2,1,2
116,-1,-1,middle,1,2,1,1
117,-1,-1,outer,1,2,1,0
118,-1,-1,outer,0,3,1,2
119,-1,-1,outer,1,2,1,1
120,-1,-1,outer,0,3,1,0
121,-1,-1,middle,0,3,1,2
122,-1,-1,outer,1,2,1,1
123,-1,-1,outer,0,3,1,0
124,-1,-1,outer,0,3,1,2
125,-1,-1,middle,1,2,1,1
126,-1,-1,outer,1,2,1,0
127,-1,-1,outer,1,2,1,2
128,-1,-1,middle,1,2,1,1
129,-1,-1,outer,1,2,1,0
130,-1,-1,middle,1,2,1,2
131,-1,-1,outer,1,2,1,1
132,-1,-1,outer,1,2,1,0
133,-1,-1,outer,1,2,1,2
134,-1,-1,outer,1,2,1,1
135,-1,-1,outer,1,2,1,0
136,-1,-1,outer,1,2,1,2
137,-1,-1,outer,0,3,1,1
138,-1,-1,outer,0,3,1,0
139,-1,-1,outer,1,2,1,2
140,-1,-1,outer,1,2,1,1
141,-1,0,,0,1,0,1
142,-1,0,,0,1,0,1
143,-1,-1,outer,1,2,1,0
144,-1,-1,outer,1,2,1,2
145,-1,-1,outer,1,2,1,1
146,-1,-1,middle,1,2,1,0
147,-1,-1,middle,0,3,1,2
148,-1,-1,middle,0,3,1,1
149,-1,-1,middle,1,2,1,0
150,-1,-1,outer,1,2,1,2
151,-1,-1,outer,1,2,1,1
152,-1,-1,outer,0,3,1,0
153,-1,-1,outer,1,2,1,2
154,-1,-1,outer,1,2,1,1
155,-1,-1,outer,1,2,1,0
156,-1,-1,outer,0,3,1,2
157,-1,-1,outer,1,2,1,1
158,-1,-1,outer,1,2,1,0
159,-1,-1,outer,0,3,1,2
160,-1,-1,outer,1,2,1,1
161,-1,-1,outer,0,3,1,0
162,-1,-1,outer,0,3,1,2
163,-1,0,,0,1,0,2
164,-1,-1,middle,1,2,1,1
165,-1,-1,outer,1,2,1,0
166,-1,-1,middle,1,2,1,2
167,-1,-1,outer,1,2,1,1
168,-1,-1,outer,1,2,1,0
169,-1,-1,outer,0,3,1,2
170,-1,-1,middle,1,2,1,1
171,-1,-1,outer,1,2,1,0
172,-1,-1,middle,1,2,1,2
173,-1,-1,outer,1,2,1,1
174,-1,0,,0,1,0,1
175,-1,-1,outer,1,2,1,0
176,-1,-1,outer,1,2,1,2
177,-1,-1,middle,1,2,1,1
178,-1,-1,outer,1,2,1,0
179,-1,0,,0,1,0,0
180,-1,0,,0,1,0,0
181,-1,-1,middle,1,2,1,2
182,-1,-1,outer,1,2,1,1
183,-1,-1,outer,1,2,1,0
184,-1,-1,outer,1,2,1,2
185,-1,-1,outer,1,2,1,1
186,-1,-1,outer,1,2,1,0
187,-1,-1,outer,1,2,1,2
188,-1,-1,middle,1,2,1,1
189,-1,-1,outer,1,2,1,0
190,-1,-1,outer,1,2,1,2
191,-1,-1,outer,1,2,1,1
192,-1,-1,outer,1,2,1,0
193,-1,-1,middle,0,3,1,2
194,-1,-1,outer,1,2,1,1
195,-1,-1,outer,0,3,1,0
196,-1,-1,middle,0,3,1,2
197,-1,-1,outer,1,2,1,1
198,-1,-1,outer,1,2,1,0
199,-1,-1,outer,1,2,1,2
200,-1,-1,outer,1,2,1,1
201,-1,-1,outer,1,2,1,0
202,-1,-1,outer,1,2,1,2
203,-1,-1,outer,1,2,1,1
204,-1,-1,middle,1,2,1,0
205,-1,-1,outer,1,2,1,2
206,-1,-1,outer,0,3,1,1
207,-1,-1,outer,1,2,1,0
208,-1,-1,middle,1,2,1,2
209,-1,-1,outer,1,2,1,1
210,-1,-1,middle,0,3,1,0
211,-1,-1,outer,1,2,1,2
212,-1,-1,outer,0,3,1,1
213,-1,-1,outer,1,2,1,0
214,-1,-1,middle,1,2,1,2
215,-1,-1,outer,0,3,1,1
216,-1,-1,outer,0,3,1,0
217,-1,0,,0,1,0,0
218,-1,-1,middle,0,3,1,2
219,-1,-1,outer,1,2,1,1
220,-1,-1,outer,0,3,1,0
221,-1,0,,0,1,0,0
222,-1,-1,middle,1,2,1,2
223,-1,0,,0,1,0,2
224,-1,0,,0,1,0,2
225,-1,-1,outer,1,2,1,1
226,-1,-1,outer,1,2,1,0
227,-1,-1,outer,1,2,1,2
228,-1,-1,middle,1,2,1,1
229,-1,-1,outer,1,2,1,0
230,-1,-1,middle,1,2,1,2
231,-1,-1,middle,1,2,1,1
232,-1,-1,middle,1,2,1,0
233,-1,-1,outer,1,2,1,2
234,-1,-1,outer,1,2,1,1
235,-1,-1,outer,1,2,1,0
236,-1,-1,outer,1,2,1,2
237,-1,-1,outer,1,2,1,1
238,-1,-1,outer,1,2,1,0
239,-1,0,,0,1,0,0
240,-1,0,,0,1,0,0
241,-1,-1,middle,0,3,1,2
242,-1,-1,middle,0,3,1,1
243,-1,-1,outer,1,2,1,0
244,-1,-1,outer,1,2,1,2
245,-1,-1,outer,1,2,1,1
246,-1,-1,outer,1,2,1,0
247,-1,-1,outer,0,3,1,2
248,-1,-1,outer,1,2,1,1
249,-1,0,,0,1,0,1
250,-1,-1,middle,0,3,1,0
251,-1,0,,0,1,0,0
252,-1,0,,0,1,0,0
253,-1,-1,outer,1,2,1,2
254,-1,-1,outer,1,2,1,1
255,-1,-1,outer,1,2,1,0
256,-1,-1,outer,1,2,1,2
257,-1,-1,outer,1,2,1,1
258,-1,-1,outer,1,2,1,0
259,-1,-1,outer,0,3,1,2
260,-1,-1,outer,1,2,1,1
261,-1,0,,0,1,0,1
262,-1,-1,outer,1,2,1,0
263,-1,-1,outer,0,3,1,2
264,-1,-1,middle,0,3,1,1
265,-1,-1,outer,1,2,1,0
266,-1,-1,middle,1,2,1,2
267,-1,0,,0,1,0,2
268,-1,-1,outer,0,3,1,1
269,-1,0,,0,1,0,1
270,-1,-1,outer,0,3,1,0
271,-1,-1,outer,0,3,1,2
272,-1,-1,outer,0,3,1,1
273,-1,-1,outer,1,2,1,0
274,-1,-1,middle,0,3,1,2
275,-1,-1,middle,1,2,1,1
276,-1,-1,outer,1,2,1,0
277,-1,-1,outer,1,2,1,2
278,-1,-1,outer,1,2,1,1
279,-1,0,,0,1,0,1
280,-1,0,,0,1,0,1
281,-1,-1,outer,1,2,1,0
282,-1,-1,outer,1,2,1,2
283,-1,-1,outer,1,2,1,1
284,-1,-1,outer,1,2,1,0
285,-1,-1,outer,1,2,1,2
286,-1,-1,middle,0,3,1,1
287,-1,-1,outer,0,3,1,0
288,-1,-1,outer,1,2,1,2
289,-1,-1,outer,1,2,1,1
290,-1,-1,outer,1,2,1,0
291,-1,-1,outer,1,2,1,2
292,-1,-1,outer,1,2,1,1
293,-1,-1,outer,1,2,1,0
294,-1,-1,middle,1,2,1,2
295,-1,-1,outer,0,3,1,1
296,-1,-1,middle,1,2,1,0
297,-1,-1,outer,1,2,1,2
298,-1,-1,outer,0,3,1,1
299,-1,-1,outer,1,2,1,0
300,-1,-1,outer,1,2,1,2
301,-1,-1,outer,1,2,1,1
302,-1,-1,outer,0,3,1,0
303,-1,-1,outer,1,2,1,2
304,-1,-1,outer,1,2,1,1
305,-1,-1,outer,1,2,1,0
306,-1,-1,middle,1,2,1,2
307,-1,-1,outer,1,2,1,1
308,-1,0,,0,1,0,1
309,-1,-1,outer,0,3,1,0
310,-1,-1,middle,1,2,1,2
311,-1,-1,outer,0,3,1,1
312,-1,0,,0,1,0,1
313,-1,-1,outer,1,2,1,0
314,-1,-1,middle,1,2,1,2
315,-1,-1,outer,0,3,1,1
316,-1,0,,0,1,0,1
317,-1,-1,outer,1,2,1,0
318,-1,-1,outer,1,2,1,2
319,-1,-1,outer,0,3,1,1
320,-1,-1,outer,1,2,1,0
321,-1,-1,outer,0,3,1,2
322,-1,-1,outer,1,2,1,1
323,-1,-1,outer,1,2,1,0
324,-1,-1,middle,0,3,1,2
325,-1,-1,outer,1,2,1,1
326,-1,-1,outer,0,3,1,0
327,-1,-1,outer,1,2,1,2
328,-1,-1,outer,1,2,1,1
