toy_id,historical_basename,historical_reported_status,historical_reported_duration_s,current_status,rerun_claim
R02-01,aod_blob_pattern_sim.py,PASS,7,SOURCE_MISSING,NONE
R02-02,aod_emergent_awareness_crescendo_trace.py,PASS,24,SOURCE_MISSING,NONE
R02-03,aod_fractal_tesseract_coupling_probe.py,PASS,15,SOURCE_MISSING,NONE
R02-04,aod_fusion_chain_contact_folding_probe.py,TIMEOUT,48,SOURCE_MISSING,NONE
R02-05,aod_indexical_self_binding_coupled_probe.py,TIMEOUT,48,SOURCE_MISSING,NONE
R02-06,aod_minimal_awareness_trace.py,PASS,26,SOURCE_MISSING,NONE
R02-07,aod_minimal_mindful_meditation_probe.py,PASS,26,SOURCE_MISSING,NONE
R02-08,aod_minimal_sensor_motor_probe.py,PASS,24,SOURCE_MISSING,NONE
R02-09,aod_minimal_shared_vocabulary_probe.py,TIMEOUT,48,SOURCE_MISSING,NONE
R02-10,aod_multi_blob_grammar_sim.py,PASS,8,SOURCE_MISSING,NONE
R02-11,aod_register_self_sim.py,PASS,7,SOURCE_MISSING,NONE
R02-12,aod_relational_intelligence_full_sim.py,PASS,22,SOURCE_MISSING,NONE
R02-13,aod_relational_intelligence_sim.py,PASS,6,SOURCE_MISSING,NONE
R02-14,aod_resource_usage_sim.py,PASS,7,SOURCE_MISSING,NONE
R02-15,aod_sadar_frg_intelligence_sim.py,PASS,12,SOURCE_MISSING,NONE
R02-16,aod_self_reference_game.py,PASS,26,SOURCE_MISSING,NONE
R02-17,aod_toy_cpu_sim.py,PASS,6,SOURCE_MISSING,NONE
R02-18,aod_trace_invariance_interrogation_probe.py,TIMEOUT,48,SOURCE_MISSING,NONE
R02-19,aogenesis_toy_cpu_ternary_xor_probe.py,PASS,27,SOURCE_MISSING,NONE
