molecule_id,canonical_smiles,heavy_atom_count,total_atom_count,bond_count,ring_count,aromatic_ring_count,heteroatom_count,formal_charge,rdkit_version,rdkit_status
water,O,1,3,0,0,0,1,0,2025.09.4,computed_optional_graph_lane
carbon_dioxide,O=C=O,3,3,2,0,0,2,0,2025.09.4,computed_optional_graph_lane
ammonia,N,1,4,0,0,0,1,0,2025.09.4,computed_optional_graph_lane
methane,C,1,5,0,0,0,0,0,2025.09.4,computed_optional_graph_lane
formaldehyde,C=O,2,4,1,0,0,1,0,2025.09.4,computed_optional_graph_lane
hydrogen_cyanide,C#N,2,3,1,0,0,1,0,2025.09.4,computed_optional_graph_lane
phosphate,O=P(O)(O)O,5,8,4,0,0,5,0,2025.09.4,computed_optional_graph_lane
ribose,OCC1OC(O)C(O)C1O,10,20,10,1,0,5,0,2025.09.4,computed_optional_graph_lane
deoxyribose,OCC1OC(O)CC1O,9,19,9,1,0,4,0,2025.09.4,computed_optional_graph_lane
adenine,Nc1ncnc2[nH]cnc12,10,15,11,2,2,5,0,2025.09.4,computed_optional_graph_lane
guanine,Nc1nc2[nH]cnc2c(=O)[nH]1,11,16,12,2,2,6,0,2025.09.4,computed_optional_graph_lane
cytosine,,,,,,,,,2025.09.4,parse_failed
uracil,O=c1cc[nH]c(=O)[nH]1,8,12,8,1,1,4,0,2025.09.4,computed_optional_graph_lane
thymine,Cc1c[nH]c(=O)[nH]c1=O,9,15,9,1,1,4,0,2025.09.4,computed_optional_graph_lane
glycine,NCC(=O)O,5,10,4,0,0,3,0,2025.09.4,computed_optional_graph_lane
alanine,CC(N)C(=O)O,6,13,5,0,0,3,0,2025.09.4,computed_optional_graph_lane
serine,NC(CO)C(=O)O,7,14,6,0,0,4,0,2025.09.4,computed_optional_graph_lane
methionine,CSCCC(N)C(=O)O,9,20,8,0,0,4,0,2025.09.4,computed_optional_graph_lane
