Z,symbol,name,octave,registry_authority,registry_status
1,H,Hydrogen,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
2,He,Helium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
3,Li,Lithium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
4,Be,Beryllium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
5,B,Boron,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
6,C,Carbon,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
7,N,Nitrogen,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
8,O,Oxygen,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
9,F,Fluorine,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
10,Ne,Neon,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
11,Na,Sodium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
12,Mg,Magnesium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
13,Al,Aluminium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
14,Si,Silicon,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
15,P,Phosphorus,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
16,S,Sulfur,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
17,Cl,Chlorine,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
18,Ar,Argon,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
19,K,Potassium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
20,Ca,Calcium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
21,Sc,Scandium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
22,Ti,Titanium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
23,V,Vanadium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
24,Cr,Chromium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
25,Mn,Manganese,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
26,Fe,Iron,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
27,Co,Cobalt,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
28,Ni,Nickel,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
29,Cu,Copper,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
30,Zn,Zinc,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
31,Ga,Gallium,elementary,IUPAC periodic-table registry lane,frozen_118_name_symbol_fixture
