row_id,element_Z,symbol,element_name,occurrence_id,atlas_layer,fractal_octave_coordinate,registry_basis,native_flow_status,target_value_read_status,metric_report_status,residual_status,score_status,row_sha256
elem118_occ_001,1,H,Hydrogen,elementary_matter_occurrence_Z001_H,Elementary Matter 118,elementary_matter_118_native_atlas,IUPAC_Z_symbol_name_registry_carried_forward_no_external_target_read,native_occurrence_card_materialized,not_read,closed,not_computed,no_score,411944f1678d1675a6ace3340e059417b0a938e4302b239c0974effd78b6a2d8
elem118_occ_002,2,He,Helium,elementary_matter_occurrence_Z002_He,Elementary Matter 118,elementary_matter_118_native_atlas,IUPAC_Z_symbol_name_registry_carried_forward_no_external_target_read,native_occurrence_card_materialized,not_read,closed,not_computed,no_score,e62003eebdd6a1a95e529bbd9a23adde4b9bf1619c3ae291f22f238a5a6672fa
elem118_occ_003,3,Li,Lithium,elementary_matter_occurrence_Z003_Li,Elementary Matter 118,elementary_matter_118_native_atlas,IUPAC_Z_symbol_name_registry_carried_forward_no_external_target_read,native_occurrence_card_materialized,not_read,closed,not_computed,no_score,36c9d20b2dad50aaffd85e210a9519ac744def1bbac37c382d1dc86f89c0a2ef
elem118_occ_004,4,Be,Beryllium,elementary_matter_occurrence_Z004_Be,Elementary Matter 118,elementary_matter_118_native_atlas,IUPAC_Z_symbol_name_registry_carried_forward_no_external_target_read,native_occurrence_card_materialized,not_read,closed,not_computed,no_score,498a6f38360c225947ecf3ee9c237c874118c2a0dc5c86b40dbac6af501f86a2
elem118_occ_005,5,B,Boron,elementary_matter_occurrence_Z005_B,Elementary Matter 118,elementary_matter_118_native_atlas,IUPAC_Z_symbol_name_registry_carried_forward_no_external_target_read,native_occurrence_card_materialized,not_read,closed,not_computed,no_score,09314ba34157fa09c9b40ca25f06bdda3cc629421da080c780cf3397681e5a08
elem118_occ_006,6,C,Carbon,elementary_matter_occurrence_Z006_C,Elementary Matter 118,elementary_matter_118_native_atlas,IUPAC_Z_symbol_name_registry_carried_forward_no_external_target_read,native_occurrence_card_materialized,not_read,closed,not_computed,no_score,d2e91438563a8a2813a256c9c76e98e63a9011edd94bd820ff88273ab451422d
elem118_occ_007,7,N,Nitrogen,elementary_matter_occurrence_Z007_N,Elementary Matter 118,elementary_matter_118_native_atlas,IUPAC_Z_symbol_name_registry_carried_forward_no_external_target_read,native_occurrence_card_materialized,not_read,closed,not_computed,no_score,5762fa59dccfd530448317d712027715a363476b698302037aa613d3e88518cf
elem118_occ_008,8,O,Oxygen,elementary_matter_occurrence_Z008_O,Elementary Matter 118,elementary_matter_118_native_atlas,IUPAC_Z_symbol_name_registry_carried_forward_no_external_target_read,native_occurrence_card_materialized,not_read,closed,not_computed,no_score,ec8528a295c88324fe913c46fd7c19fabb999d3ce5c2675622b046619827d50d
elem118_occ_009,9,F,Fluorine,elementary_matter_occurrence_Z009_F,Elementary Matter 118,elementary_matter_118_native_atlas,IUPAC_Z_symbol_name_registry_carried_forward_no_external_target_read,native_occurrence_card_materialized,not_read,closed,not_computed,no_score,c890bb45dffa523533a93352aff9da9c0ef91ab25b4eb6ebd4631e5be918c83d
elem118_occ_010,10,Ne,Neon,elementary_matter_occurrence_Z010_Ne,Elementary Matter 118,elementary_matter_118_native_atlas,IUPAC_Z_symbol_name_registry_carried_forward_no_external_target_read,native_occurrence_card_materialized,not_read,closed,not_computed,no_score,ec22ddaa1ca81fe0867a47d6a04dbfd7ab22ff3dca4bb341c2a39a5d2bc9f264
