row_id,sadar_packet_id,transition_packet_id,element_Z,symbol,duon_current_flow_status,sadar_temporal_flow_status,subject_reference_phase_lock_status,native_resonance_period_status,target_value_read_status,metric_report_status,score_status,row_sha256
elem118_sadar_001,elementary_matter_sadar_flow_packet_Z001_H,elementary_matter_transition_packet_Z001_H,1,H,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,0a8269581618fb7782a0fa0a8a394817d958caaf2e01bada1a996192d20b8e76
elem118_sadar_002,elementary_matter_sadar_flow_packet_Z002_He,elementary_matter_transition_packet_Z002_He,2,He,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,c5ca187a69566050dfb069edb9ef06b53783bd8fe7de4846b36ed5f776340fe3
elem118_sadar_003,elementary_matter_sadar_flow_packet_Z003_Li,elementary_matter_transition_packet_Z003_Li,3,Li,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,34e92a0c5f8f722e93c539c2677a3daa9cdd3508d8f098f3f7c2e629632d18a7
elem118_sadar_004,elementary_matter_sadar_flow_packet_Z004_Be,elementary_matter_transition_packet_Z004_Be,4,Be,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,48b01c3934d6ebcdcee2ab323b5f3d88fcf344fa6c59c7dca722891ed8d5d9d1
elem118_sadar_005,elementary_matter_sadar_flow_packet_Z005_B,elementary_matter_transition_packet_Z005_B,5,B,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,a35c468e6c39f30cbc8c0526c21e5bcae0594f2250ed8cc36f2f87a7c6dd8caf
elem118_sadar_006,elementary_matter_sadar_flow_packet_Z006_C,elementary_matter_transition_packet_Z006_C,6,C,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,0417250efb7950d424f04aa70edea35de67ff52729a06840839d940eed7936c7
elem118_sadar_007,elementary_matter_sadar_flow_packet_Z007_N,elementary_matter_transition_packet_Z007_N,7,N,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,af2bb10e3b990497c465d22bb7d0285a837ae63172ce39c44f0508e60a471ecb
elem118_sadar_008,elementary_matter_sadar_flow_packet_Z008_O,elementary_matter_transition_packet_Z008_O,8,O,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,f7a4c7690981d3083e5a652a4034767f684eb519e090032133976bf34edd8624
elem118_sadar_009,elementary_matter_sadar_flow_packet_Z009_F,elementary_matter_transition_packet_Z009_F,9,F,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,16dac6a23b2d0ac3b58750b7f1e3bb2da1347fd6a433f679d5af77e396e540d9
elem118_sadar_010,elementary_matter_sadar_flow_packet_Z010_Ne,elementary_matter_transition_packet_Z010_Ne,10,Ne,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,64fa1cae6478af8d8eee8b9443c3703ad58af7688e2ce0beb46ac4575f90f691
elem118_sadar_011,elementary_matter_sadar_flow_packet_Z011_Na,elementary_matter_transition_packet_Z011_Na,11,Na,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,7094416ef7c330948f8923efde3f6172c1ce43a1038cb5de84cbc34950739db9
elem118_sadar_012,elementary_matter_sadar_flow_packet_Z012_Mg,elementary_matter_transition_packet_Z012_Mg,12,Mg,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,c3c5967ee02db3e297336b1b96d36801ea5eb9b1acc445e72a3365002f2d1c86
elem118_sadar_013,elementary_matter_sadar_flow_packet_Z013_Al,elementary_matter_transition_packet_Z013_Al,13,Al,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,a7c83217fb1c0912a6ddd72218f9e7bd208bf6041abb4bb6e6864a56a0371921
elem118_sadar_014,elementary_matter_sadar_flow_packet_Z014_Si,elementary_matter_transition_packet_Z014_Si,14,Si,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,3f21964df58c75608764f0554878a04397f83d29f266ca1c01a250b8bbab9bd6
elem118_sadar_015,elementary_matter_sadar_flow_packet_Z015_P,elementary_matter_transition_packet_Z015_P,15,P,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,47d48ca0f40d0fad62b8e3e6ae268f81556fdd9d41708cf6acb7b1c314b5fefc
elem118_sadar_016,elementary_matter_sadar_flow_packet_Z016_S,elementary_matter_transition_packet_Z016_S,16,S,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,2ceb87f5e8faa43f9eb67cb8fab77f06f59a30fdc8fa0782b96b999d14afa01d
elem118_sadar_017,elementary_matter_sadar_flow_packet_Z017_Cl,elementary_matter_transition_packet_Z017_Cl,17,Cl,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,e01781b4e20e1884648580f5b4ac4b0703faff2527b52407dc0ae47b398f8867
elem118_sadar_018,elementary_matter_sadar_flow_packet_Z018_Ar,elementary_matter_transition_packet_Z018_Ar,18,Ar,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,27b5adeb2d76b8d91088391b1a75629177b67bc03af92be1ae89ac4550e14903
elem118_sadar_019,elementary_matter_sadar_flow_packet_Z019_K,elementary_matter_transition_packet_Z019_K,19,K,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,f7bd4f9d286022d67fe767c9970e4e5f7071fdc8fd9a4651b78d30ffd2842725
elem118_sadar_020,elementary_matter_sadar_flow_packet_Z020_Ca,elementary_matter_transition_packet_Z020_Ca,20,Ca,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,b7fa254006ae6c23261f69974525e19ba3a3de46f7edeec9244fba44c202c95e
elem118_sadar_021,elementary_matter_sadar_flow_packet_Z021_Sc,elementary_matter_transition_packet_Z021_Sc,21,Sc,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,8961b88afbbd7f7d9c7e61a502b66f1a8f886d29e2d7a1ab56b85b8659ae9542
elem118_sadar_022,elementary_matter_sadar_flow_packet_Z022_Ti,elementary_matter_transition_packet_Z022_Ti,22,Ti,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,ad04c15970ef71ce572968973b6cf405c4dfd598143cb4ea141a0d76d569ed1e
elem118_sadar_023,elementary_matter_sadar_flow_packet_Z023_V,elementary_matter_transition_packet_Z023_V,23,V,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,e1b663bd2667dcb79d33c06ac10ea449387437d9c50853c94b36ca6f93f1267f
elem118_sadar_024,elementary_matter_sadar_flow_packet_Z024_Cr,elementary_matter_transition_packet_Z024_Cr,24,Cr,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,ba85135bfa3115c06a41e8da94e547340410e3488a26ada23b82ad6a2f47ffee
elem118_sadar_025,elementary_matter_sadar_flow_packet_Z025_Mn,elementary_matter_transition_packet_Z025_Mn,25,Mn,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,e8c553443540a2c681f47f5627937c774dbff2e2b1192db45964d289e563eb8d
elem118_sadar_026,elementary_matter_sadar_flow_packet_Z026_Fe,elementary_matter_transition_packet_Z026_Fe,26,Fe,declared_not_executed,declared_not_executed,not_materialized,not_materialized,not_read,closed,no_score,d3ec3075fc0db4ca4e4cd974caff88fb608b80d90c0ecb3f16b5d362a41324b5
