row_id,transition_packet_id,occurrence_id,element_Z,symbol,transition_family_id,native_transition_role,duon_current_status,sadar_flow_status,relational_measurement_status,hyperfine_c6_divisibility_status,target_value_read_status,si_report_status,metric_report_status,residual_status,score_status,row_sha256
elem118_transition_001,elementary_matter_transition_packet_Z001_H,elementary_matter_occurrence_Z001_H,1,H,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,3d3586ad62b83cd336787919c30df82c6b84a675e3e50b77be32ed7c47a70734
elem118_transition_002,elementary_matter_transition_packet_Z002_He,elementary_matter_occurrence_Z002_He,2,He,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,d6c8a473b4cdebe64fc326403be41564986bed0c596201444ea5e3491858d867
elem118_transition_003,elementary_matter_transition_packet_Z003_Li,elementary_matter_occurrence_Z003_Li,3,Li,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,5e4ff241f55422287bf337dda93abb3faf65e00287abf779b21c1e16c62c2467
elem118_transition_004,elementary_matter_transition_packet_Z004_Be,elementary_matter_occurrence_Z004_Be,4,Be,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,6a2c491ac190e9d5d01b387aa570f8bdf76811f5124bc67fe7c0e930aacd6fb7
elem118_transition_005,elementary_matter_transition_packet_Z005_B,elementary_matter_occurrence_Z005_B,5,B,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,95d017d97f3e6aea77c2316ea66c7cab346fa1de928f0ecba2f9b7f0fb6e309c
elem118_transition_006,elementary_matter_transition_packet_Z006_C,elementary_matter_occurrence_Z006_C,6,C,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,a6e34ecb54db43b5fac8285c16c4f527c6a65825e06cf9560f6d40fdc9e97118
elem118_transition_007,elementary_matter_transition_packet_Z007_N,elementary_matter_occurrence_Z007_N,7,N,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,19833b23c2e7bd24974d928c1c92e42494b83700317bf371e4d2e97508506aaf
elem118_transition_008,elementary_matter_transition_packet_Z008_O,elementary_matter_occurrence_Z008_O,8,O,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,88143cf36a7f9e9081ee1e3677945f14c9578e92a6dea192da43569f7b8341d4
elem118_transition_009,elementary_matter_transition_packet_Z009_F,elementary_matter_occurrence_Z009_F,9,F,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,a53c639a3359309b5b87b2efd16d141be978bffe64a4b1a8eb94adbeccc2dd53
elem118_transition_010,elementary_matter_transition_packet_Z010_Ne,elementary_matter_occurrence_Z010_Ne,10,Ne,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,b2cd04a23bb3ce715471b107cb07ce77276fa8211d53fb211e702256bcc4ea92
elem118_transition_011,elementary_matter_transition_packet_Z011_Na,elementary_matter_occurrence_Z011_Na,11,Na,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,92fa5e0618d90fa9620cf5e0e6df7e595caf0d7796232c2d529eb5c0108fb9a5
elem118_transition_012,elementary_matter_transition_packet_Z012_Mg,elementary_matter_occurrence_Z012_Mg,12,Mg,elementary_matter_118_native_transition_atlas,native_transition_candidate_slot_materialized_no_frequency_or_target,declared_not_executed_in_this_gate,declared_not_executed_in_this_gate,not_materialized,not_evaluated_until_native_resonance_packet_exists,not_read,closed,closed,not_computed,no_score,743831cd6ca34319b677411583585fa88114a61f820139d1b5e9c9517d8197c3
