rule_id,element_Z,symbol,element_name,declared_ratio,boundary_unit_left,boundary_unit_right,retained_unit,ladder_depth,retained_capacity_Z,residual_Z,sheddic_surplus,admissibility_status,observable_map_status
FFL-336,1,H,Hydrogen,3:3:6,3,3,6,1,6,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,2,He,Helium,3:3:6,3,3,6,1,6,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,3,Li,Lithium,3:3:6,3,3,6,1,6,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,4,Be,Beryllium,3:3:6,3,3,6,1,6,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,5,B,Boron,3:3:6,3,3,6,1,6,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,6,C,Carbon,3:3:6,3,3,6,1,6,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,7,N,Nitrogen,3:3:6,3,3,6,2,12,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,8,O,Oxygen,3:3:6,3,3,6,2,12,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,9,F,Fluorine,3:3:6,3,3,6,2,12,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,10,Ne,Neon,3:3:6,3,3,6,2,12,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,11,Na,Sodium,3:3:6,3,3,6,2,12,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,12,Mg,Magnesium,3:3:6,3,3,6,2,12,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,13,Al,Aluminium,3:3:6,3,3,6,3,18,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,14,Si,Silicon,3:3:6,3,3,6,3,18,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,15,P,Phosphorus,3:3:6,3,3,6,3,18,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,16,S,Sulfur,3:3:6,3,3,6,3,18,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,17,Cl,Chlorine,3:3:6,3,3,6,3,18,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,18,Ar,Argon,3:3:6,3,3,6,3,18,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,19,K,Potassium,3:3:6,3,3,6,4,24,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,20,Ca,Calcium,3:3:6,3,3,6,4,24,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,21,Sc,Scandium,3:3:6,3,3,6,4,24,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,22,Ti,Titanium,3:3:6,3,3,6,4,24,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,23,V,Vanadium,3:3:6,3,3,6,4,24,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,24,Cr,Chromium,3:3:6,3,3,6,4,24,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,25,Mn,Manganese,3:3:6,3,3,6,5,30,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,26,Fe,Iron,3:3:6,3,3,6,5,30,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,27,Co,Cobalt,3:3:6,3,3,6,5,30,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,28,Ni,Nickel,3:3:6,3,3,6,5,30,2,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,29,Cu,Copper,3:3:6,3,3,6,5,30,1,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,30,Zn,Zinc,3:3:6,3,3,6,5,30,0,0,closed,registry_Z_coordinate_after_freeze
FFL-336,31,Ga,Gallium,3:3:6,3,3,6,6,36,5,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,32,Ge,Germanium,3:3:6,3,3,6,6,36,4,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,33,As,Arsenic,3:3:6,3,3,6,6,36,3,0,boundary_residual,registry_Z_coordinate_after_freeze
FFL-336,34,Se,Selenium,3:3:6,3,3,6,6,36,2,0,boundary_residual,registry_Z_coordinate_after_freeze
