Z,symbol,name,pubchem_query_key,pubchem_query_url,comparison_status,acquisition_policy,src
1,H,Hydrogen,Hydrogen,https://pubchem.ncbi.nlm.nih.gov/#query=Hydrogen,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
2,He,Helium,Helium,https://pubchem.ncbi.nlm.nih.gov/#query=Helium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
3,Li,Lithium,Lithium,https://pubchem.ncbi.nlm.nih.gov/#query=Lithium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
4,Be,Beryllium,Beryllium,https://pubchem.ncbi.nlm.nih.gov/#query=Beryllium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
5,B,Boron,Boron,https://pubchem.ncbi.nlm.nih.gov/#query=Boron,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
6,C,Carbon,Carbon,https://pubchem.ncbi.nlm.nih.gov/#query=Carbon,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
7,N,Nitrogen,Nitrogen,https://pubchem.ncbi.nlm.nih.gov/#query=Nitrogen,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
8,O,Oxygen,Oxygen,https://pubchem.ncbi.nlm.nih.gov/#query=Oxygen,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
9,F,Fluorine,Fluorine,https://pubchem.ncbi.nlm.nih.gov/#query=Fluorine,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
10,Ne,Neon,Neon,https://pubchem.ncbi.nlm.nih.gov/#query=Neon,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
11,Na,Sodium,Sodium,https://pubchem.ncbi.nlm.nih.gov/#query=Sodium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
12,Mg,Magnesium,Magnesium,https://pubchem.ncbi.nlm.nih.gov/#query=Magnesium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
13,Al,Aluminium,Aluminium,https://pubchem.ncbi.nlm.nih.gov/#query=Aluminium,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
14,Si,Silicon,Silicon,https://pubchem.ncbi.nlm.nih.gov/#query=Silicon,lookup_fixture_no_network_fetch,downstream_external_comparison_lane_only,PubChem lookup lane declared; not used as AOD premise
