element_Z,symbol,element_name,octave_case,stellar_scale_label,declared_scale_coordinate,external_dataset,external_value,scaled_aod_value,absolute_error,relative_error,residual_class,map_status,src
1,H,Hydrogen,elementary,light-nuclei boundary marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,1,6,5,5,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
2,He,Helium,elementary,light-nuclei boundary marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,2,6,4,2,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
3,Li,Lithium,elementary,bridge-gap comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,3,6,3,1,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
4,Be,Beryllium,elementary,bridge-gap comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,4,6,2,0.5,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
5,B,Boron,elementary,bridge-gap comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,5,6,1,0.2,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
6,C,Carbon,elementary,alpha-chain comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,6,6,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
7,N,Nitrogen,elementary,alpha-chain comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,7,12,5,0.714285714286,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
8,O,Oxygen,elementary,alpha-chain comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,8,12,4,0.5,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
9,F,Fluorine,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,9,12,3,0.333333333333,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
10,Ne,Neon,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,10,12,2,0.2,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
11,Na,Sodium,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,11,12,1,0.0909090909091,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
12,Mg,Magnesium,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,12,12,0,0,zero,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
13,Al,Aluminium,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,13,18,5,0.384615384615,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
14,Si,Silicon,elementary,stellar-burning comparison marker,Z registry coordinate,IUPAC element name/symbol/atomic-number registry lane,14,18,4,0.285714285714,capacity_minus_Z,comparison_lane_not_core_calculus,manual-2/scripts/run_fractal_fusion_scales.py
