component_id,declared_formula,target_formula,delta_C,delta_H,delta_N,delta_O,delta_P,delta_S,sum_abs_delta_CHNOPS,delta3_formula,formula_delta3_status
water,H2O,H2O,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
carbon_dioxide,CO2,CO2,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
ammonia,H3N,H3N,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
methane,CH4,CH4,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
formaldehyde,CH2O,CH2O,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
hydrogen_cyanide,CHN,CHN,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
phosphate,H3O4P,H3O4P,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
ribose,C5H10O5,C5H10O5,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
deoxyribose,C5H10O4,C5H10O4,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
adenine,C5H5N5,C5H5N5,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
guanine,C5H5N5O,C5H5N5O,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
cytosine,C4H5N3O,C4H5N3O,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
uracil,C4H4N2O2,C4H4N2O2,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
thymine,C5H6N2O2,C5H6N2O2,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
glycine,C2H5NO2,C2H5NO2,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
alanine,C3H7NO2,C3H7NO2,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
serine,C3H7NO3,C3H7NO3,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
methionine,C5H11NO2S,C5H11NO2S,0,0,0,0,0,0,0,C:0;H:0;N:0;O:0;P:0;S:0,exact_fixture
