component_id,class,declared_formula,n_C,n_H,n_N,n_O,n_P,n_S,pubchem_target_id,smiles,rdkit_formula,rdkit_graph_status,formula_delta3,target_status,release_status
water,boundary_shedding,H2O,0,2,0,1,0,0,pubchem_water,O,H2O,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
carbon_dioxide,precursor,CO2,1,0,0,2,0,0,pubchem_carbon_dioxide,O=C=O,CO2,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
ammonia,precursor,H3N,0,3,1,0,0,0,pubchem_ammonia,N,H3N,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
methane,precursor,CH4,1,4,0,0,0,0,pubchem_methane,C,CH4,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
formaldehyde,precursor,CH2O,1,2,0,1,0,0,pubchem_formaldehyde,C=O,CH2O,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
hydrogen_cyanide,precursor,CHN,1,1,1,0,0,0,pubchem_hydrogen_cyanide,C#N,CHN,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
phosphate,precursor,H3O4P,0,3,0,4,1,0,pubchem_phosphate,OP(=O)(O)O,H3O4P,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
ribose,sugar,C5H10O5,5,10,0,5,0,0,pubchem_ribose,OCC1OC(O)C(O)C1O,C5H10O5,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
deoxyribose,sugar,C5H10O4,5,10,0,4,0,0,pubchem_deoxyribose,OCC1OC(O)CC1O,C5H10O4,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
adenine,base,C5H5N5,5,5,5,0,0,0,pubchem_adenine,Nc1ncnc2[nH]cnc12,C5H5N5,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
guanine,base,C5H5N5O,5,5,5,1,0,0,pubchem_guanine,Nc1nc2[nH]cnc2c(=O)[nH]1,C5H5N5O,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
cytosine,base,C4H5N3O,4,5,3,1,0,0,pubchem_cytosine,Nc1ncc(=O)[nH]1,C4H5N3O,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
uracil,base,C4H4N2O2,4,4,2,2,0,0,pubchem_uracil,O=c1cc[nH]c(=O)[nH]1,C4H4N2O2,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
thymine,base,C5H6N2O2,5,6,2,2,0,0,pubchem_thymine,Cc1c[nH]c(=O)[nH]c1=O,C5H6N2O2,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
glycine,amino_acid,C2H5NO2,2,5,1,2,0,0,pubchem_glycine,NCC(=O)O,C2H5NO2,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
alanine,amino_acid,C3H7NO2,3,7,1,2,0,0,pubchem_alanine,CC(N)C(=O)O,C3H7NO2,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
serine,amino_acid,C3H7NO3,3,7,1,3,0,0,pubchem_serine,NC(CO)C(=O)O,C3H7NO3,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
methionine,amino_acid,C5H11NO2S,5,11,1,2,0,1,pubchem_methionine,CSCCC(N)C(=O)O,C5H11NO2S,offline_fixture_not_graph_scored,C:0;H:0;N:0;O:0;P:0;S:0,target_packet_fixture_no_network_fetch,v40.02r02_scaffold_no_value_map
