component_id,class,declared_formula,normalized_formula,smiles,formula_status,residual_CHONPS
water,boundary_shedding,H2O,H2O,O,exact,C:0;H:0;N:0;O:0;P:0;S:0
carbon_dioxide,precursor,CO2,CO2,O=C=O,exact,C:0;H:0;N:0;O:0;P:0;S:0
ammonia,precursor,H3N,H3N,N,exact,C:0;H:0;N:0;O:0;P:0;S:0
methane,precursor,CH4,CH4,C,exact,C:0;H:0;N:0;O:0;P:0;S:0
formaldehyde,precursor,CH2O,CH2O,C=O,exact,C:0;H:0;N:0;O:0;P:0;S:0
hydrogen_cyanide,precursor,CHN,CHN,C#N,exact,C:0;H:0;N:0;O:0;P:0;S:0
phosphate,precursor,H3O4P,H3O4P,OP(=O)(O)O,exact,C:0;H:0;N:0;O:0;P:0;S:0
ribose,sugar,C5H10O5,C5H10O5,OCC1OC(O)C(O)C1O,exact,C:0;H:0;N:0;O:0;P:0;S:0
deoxyribose,sugar,C5H10O4,C5H10O4,OCC1OC(O)CC1O,exact,C:0;H:0;N:0;O:0;P:0;S:0
adenine,base,C5H5N5,C5H5N5,Nc1ncnc2[nH]cnc12,exact,C:0;H:0;N:0;O:0;P:0;S:0
guanine,base,C5H5N5O,C5H5N5O,Nc1nc2[nH]cnc2c(=O)[nH]1,exact,C:0;H:0;N:0;O:0;P:0;S:0
cytosine,base,C4H5N3O,C4H5N3O,Nc1ncc(=O)[nH]1,exact,C:0;H:0;N:0;O:0;P:0;S:0
uracil,base,C4H4N2O2,C4H4N2O2,O=c1cc[nH]c(=O)[nH]1,exact,C:0;H:0;N:0;O:0;P:0;S:0
thymine,base,C5H6N2O2,C5H6N2O2,Cc1c[nH]c(=O)[nH]c1=O,exact,C:0;H:0;N:0;O:0;P:0;S:0
glycine,amino_acid,C2H5NO2,C2H5NO2,NCC(=O)O,exact,C:0;H:0;N:0;O:0;P:0;S:0
alanine,amino_acid,C3H7NO2,C3H7NO2,CC(N)C(=O)O,exact,C:0;H:0;N:0;O:0;P:0;S:0
serine,amino_acid,C3H7NO3,C3H7NO3,NC(CO)C(=O)O,exact,C:0;H:0;N:0;O:0;P:0;S:0
methionine,amino_acid,C5H11NO2S,C5H11NO2S,CSCCC(N)C(=O)O,exact,C:0;H:0;N:0;O:0;P:0;S:0
