component_id,declared_formula,vector_order,n_C,n_H,n_N,n_O,n_P,n_S,vector_status
water,H2O,"C,H,N,O,P,S",0,2,0,1,0,0,parsed_from_declared_formula
carbon_dioxide,CO2,"C,H,N,O,P,S",1,0,0,2,0,0,parsed_from_declared_formula
ammonia,H3N,"C,H,N,O,P,S",0,3,1,0,0,0,parsed_from_declared_formula
methane,CH4,"C,H,N,O,P,S",1,4,0,0,0,0,parsed_from_declared_formula
formaldehyde,CH2O,"C,H,N,O,P,S",1,2,0,1,0,0,parsed_from_declared_formula
hydrogen_cyanide,CHN,"C,H,N,O,P,S",1,1,1,0,0,0,parsed_from_declared_formula
phosphate,H3O4P,"C,H,N,O,P,S",0,3,0,4,1,0,parsed_from_declared_formula
ribose,C5H10O5,"C,H,N,O,P,S",5,10,0,5,0,0,parsed_from_declared_formula
deoxyribose,C5H10O4,"C,H,N,O,P,S",5,10,0,4,0,0,parsed_from_declared_formula
adenine,C5H5N5,"C,H,N,O,P,S",5,5,5,0,0,0,parsed_from_declared_formula
guanine,C5H5N5O,"C,H,N,O,P,S",5,5,5,1,0,0,parsed_from_declared_formula
cytosine,C4H5N3O,"C,H,N,O,P,S",4,5,3,1,0,0,parsed_from_declared_formula
uracil,C4H4N2O2,"C,H,N,O,P,S",4,4,2,2,0,0,parsed_from_declared_formula
thymine,C5H6N2O2,"C,H,N,O,P,S",5,6,2,2,0,0,parsed_from_declared_formula
glycine,C2H5NO2,"C,H,N,O,P,S",2,5,1,2,0,0,parsed_from_declared_formula
alanine,C3H7NO2,"C,H,N,O,P,S",3,7,1,2,0,0,parsed_from_declared_formula
serine,C3H7NO3,"C,H,N,O,P,S",3,7,1,3,0,0,parsed_from_declared_formula
methionine,C5H11NO2S,"C,H,N,O,P,S",5,11,1,2,0,1,parsed_from_declared_formula
