sadar_flow_id,occurrence_id,transition_packet_id,sadar_context_id,flow_semantics,flow_status,target_value_read_status,si_report_status,metric_report_status,residual_status,score_status,row_sha256
sadar_flow_mol_component_water,mol_component_water,transition_mol_component_water,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,46f6391c3ecbebe817aae870909f7317eb353da7fe3a01a7cffcf6148b0113e7
sadar_flow_mol_component_carbon_dioxide,mol_component_carbon_dioxide,transition_mol_component_carbon_dioxide,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,7f9553c670a04bef63fc6b659449ea4c79686c5c0c85711a862bd7a501247cae
sadar_flow_mol_component_ammonia,mol_component_ammonia,transition_mol_component_ammonia,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,b6317a22f0b0b6abd9ef13658ee5f78697ec68eee7254bd6721acf172a6684c9
sadar_flow_mol_component_methane,mol_component_methane,transition_mol_component_methane,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,2aeb133d71fab53ad7dd12e7f49247eeba1e6ffb5efd0c4da7d42ddc31d72af9
sadar_flow_mol_component_formaldehyde,mol_component_formaldehyde,transition_mol_component_formaldehyde,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,9d49c5c0248ecb8cbf033f9bea535d5a36be642004e513b68a8e31bf2b7dbc6a
sadar_flow_mol_component_hydrogen_cyanide,mol_component_hydrogen_cyanide,transition_mol_component_hydrogen_cyanide,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,18acd2e4ce335fd952f9ceeb5a05f309e27016eb778bf269d600bd5a29d8c12a
sadar_flow_mol_component_phosphate,mol_component_phosphate,transition_mol_component_phosphate,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,715e4f289c0155a724d21bb58475e22288091dda58e5415851fa81d1c1fe0457
sadar_flow_mol_component_ribose,mol_component_ribose,transition_mol_component_ribose,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,3137d1f6792a169bdfd05137e579fd64098199deaee452797d4d5708892e2024
sadar_flow_mol_component_deoxyribose,mol_component_deoxyribose,transition_mol_component_deoxyribose,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,e4a8d5ec2d9934a96d4614cb2938edcdea98847e2ac52217914d6e801e6143a8
sadar_flow_mol_component_adenine,mol_component_adenine,transition_mol_component_adenine,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,dd66b88aaaa51abeff820fc03d6edeabb1580c072efe1b9af56ab7590c3ad50c
sadar_flow_mol_component_guanine,mol_component_guanine,transition_mol_component_guanine,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,36b886ddf6ae21964524a3ce55f7390c05862b969ca73d576a30a0b854b45f06
sadar_flow_mol_component_cytosine,mol_component_cytosine,transition_mol_component_cytosine,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,1522b17aed58abf652fe8d9fdd0993b7585d96caa4d1bad32d4bb82b4853f015
sadar_flow_mol_component_uracil,mol_component_uracil,transition_mol_component_uracil,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,2540c8248ca8911a048ffdf0a4b6f53b78c46e11f9e79133bec58bc6c4ad651d
sadar_flow_mol_component_thymine,mol_component_thymine,transition_mol_component_thymine,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,77847f58dc95f4996975c5d3a301678a1908cc6d9bed2c2cdfb24676a296ba70
sadar_flow_mol_component_glycine,mol_component_glycine,transition_mol_component_glycine,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,5ba0722d4762df8836457e0b1f50d72a0e4946a8f7dd521d415a400cfd8a3f6f
sadar_flow_mol_component_alanine,mol_component_alanine,transition_mol_component_alanine,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,24070fe1025ea6ff28e5c6287179b6e66ea428e8745d583464c591c7eec70d08
sadar_flow_mol_component_serine,mol_component_serine,transition_mol_component_serine,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,e246836f32783a849aeb4a5f2e50a9c69383c98f48bc03be834b56599333fcab
sadar_flow_mol_component_methionine,mol_component_methionine,transition_mol_component_methionine,component_declared_context,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,f2d50df8ebd45504786dbd270974065bf96b68a3b7191b7c535ec17422e4e14c
sadar_flow_mol_chain_chain_GA_peptide_seed,mol_chain_chain_GA_peptide_seed,transition_mol_chain_chain_GA_peptide_seed,sadar_mol_001,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,9cc721367f7a59a97dc583e245d4684b3529a251e1e8349428c760b5b98d5d2d
sadar_flow_mol_chain_chain_AMP_nucleotide_seed,mol_chain_chain_AMP_nucleotide_seed,transition_mol_chain_chain_AMP_nucleotide_seed,sadar_mol_002,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,f33c9bdba0286b96ee22d82333d39a5b94c258784dcd2115f1adf03e35afa9ca
sadar_flow_mol_chain_chain_UMP_nucleotide_seed,mol_chain_chain_UMP_nucleotide_seed,transition_mol_chain_chain_UMP_nucleotide_seed,sadar_mol_003,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,37ed6c94f64177b8fda0de11b75ce03a52eece5d4abc5d36132374e4ad684c7b
sadar_flow_mol_chain_chain_AU_dinucleotide_seed,mol_chain_chain_AU_dinucleotide_seed,transition_mol_chain_chain_AU_dinucleotide_seed,sadar_mol_004,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,4d8b369eb79f34ad2ceb04d8f3cd80fb7e377593e1a4b04a7640ed21df5ba3df
sadar_flow_mol_chain_chain_GAS_tripeptide_seed,mol_chain_chain_GAS_tripeptide_seed,transition_mol_chain_chain_GAS_tripeptide_seed,sadar_mol_005,molecular_duon_current_sadar_flow_declaration_not_metric_time,declared_native_flow_no_phase_lock_value,not_read,closed,closed,not_computed,no_score,1537a8e6237c67d24d6b2b45d1b6d6b6edc13acd88e1740f253b794d0ee6e22e
