occurrence_id,occurrence_kind,source_row_id,declared_name,declared_formula,molecular_class,native_occurrence_status,target_value_read_status,si_report_status,metric_report_status,residual_status,score_status,row_sha256
mol_component_water,component_fixture,water,water,H2O,boundary_shedding,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,a475192b8770cca45ec91d6f672e7c3f9ab3902abc11a7bd8a07353058f6aee0
mol_component_carbon_dioxide,component_fixture,carbon_dioxide,carbon_dioxide,CO2,precursor,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,befa88e585410249d9580e380efb4e1feb2212420170c34cf657fb451df96b02
mol_component_ammonia,component_fixture,ammonia,ammonia,H3N,precursor,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,9db729147cea61caef20c6be0da46c990b51182e06597f36ac13d99993e3b185
mol_component_methane,component_fixture,methane,methane,CH4,precursor,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,28c0d9122819db9bba2eb497680960c595e0bb4616929e9ed64e7f1adb86967b
mol_component_formaldehyde,component_fixture,formaldehyde,formaldehyde,CH2O,precursor,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,d13f3eb53022e22688b8d03c55dd1478ea88d68d451bdb44b4ee4ac20c92234a
mol_component_hydrogen_cyanide,component_fixture,hydrogen_cyanide,hydrogen_cyanide,CHN,precursor,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,1caa1116b95d5449ee022819fd2e6251c66ac30aa1f9b72c53d46b98df70ceb3
mol_component_phosphate,component_fixture,phosphate,phosphate,H3O4P,precursor,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,b18f5c0c0bdfb07478f61b80a1cb6319331e23d52ef911de464f914cd5506b30
mol_component_ribose,component_fixture,ribose,ribose,C5H10O5,sugar,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,d213edb3bf1cc7452ccbe5fb5124acb99ea50cf1b0e01b2797a467e5f006088f
mol_component_deoxyribose,component_fixture,deoxyribose,deoxyribose,C5H10O4,sugar,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,fe586cb635aa99b99617431e99ee2229b424e68538478167961b022ef37b323a
mol_component_adenine,component_fixture,adenine,adenine,C5H5N5,base,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,009b1f70c6d0570689ee3d3a4eb668888643c54dda707878aa31f6aa65659930
mol_component_guanine,component_fixture,guanine,guanine,C5H5N5O,base,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,16ed92dcd319bca490c273296b6e7068d70726c2e29678ecad2cfb4aeddb4ba4
mol_component_cytosine,component_fixture,cytosine,cytosine,C4H5N3O,base,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,2f208b5a68b66e3d5fa6022bc682eb03782a2de75f70813141ef53a318e8d2a5
mol_component_uracil,component_fixture,uracil,uracil,C4H4N2O2,base,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,514c2b6e18a2e4a11897020c31c13f3fb4607c99244675ceddd8bdde70b878ff
mol_component_thymine,component_fixture,thymine,thymine,C5H6N2O2,base,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,521c184c30cd3a019c2b36f91b61dcad4eeac0dc3b37c726a46283d0c7de6a8c
mol_component_glycine,component_fixture,glycine,glycine,C2H5NO2,amino_acid,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,dc46907423d14150e01c1b09060ec53910163a92a0616423b13c2826982cc406
mol_component_alanine,component_fixture,alanine,alanine,C3H7NO2,amino_acid,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,f3308c1793778eb951bbcbc54ffa37c2fb04485b08a57f847fdadc06eebf768b
mol_component_serine,component_fixture,serine,serine,C3H7NO3,amino_acid,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,73848cdc3c7201b8121fee8bf91217e74946b9c6988388764896b8c0b15048f0
mol_component_methionine,component_fixture,methionine,methionine,C5H11NO2S,amino_acid,materialized_from_declared_molecular_fixture,not_read,closed,closed,not_computed,no_score,ae819adfbb86ff37f462a018f9571c16824acdfe19aff35ed00018b22b2e6601
mol_chain_chain_GA_peptide_seed,chain_fixture,chain_GA_peptide_seed,glycine+alanine,C5H10N2O3,peptide_seed,materialized_from_frozen_chain_formula_packet,not_read,closed,closed,not_computed,no_score,ecfabfa0dc45efec685315a98b196ac1357782791a3dbc58bb80ee957978016f
mol_chain_chain_AMP_nucleotide_seed,chain_fixture,chain_AMP_nucleotide_seed,adenine+ribose+phosphate,C10H14N5O7P,nucleotide_seed,materialized_from_frozen_chain_formula_packet,not_read,closed,closed,not_computed,no_score,61d83e6d5044cb1f70def20a383b754d1f84d10d9b24403aa5718f64cce16343
mol_chain_chain_UMP_nucleotide_seed,chain_fixture,chain_UMP_nucleotide_seed,uracil+ribose+phosphate,C9H13N2O9P,nucleotide_seed,materialized_from_frozen_chain_formula_packet,not_read,closed,closed,not_computed,no_score,d849caf279db590513f6b23efbbc2f7429db4c3f017ebf14d83127e2b6721291
mol_chain_chain_AU_dinucleotide_seed,chain_fixture,chain_AU_dinucleotide_seed,AMP_internal+UMP_internal,C19H25N7O15P2,dinucleotide_seed,materialized_from_frozen_chain_formula_packet,not_read,closed,closed,not_computed,no_score,2a0aba1fbb9ac1d5c1fe29342f1222f0bd6eaa98136959d1a6cfbbb8898e89b2
mol_chain_chain_GAS_tripeptide_seed,chain_fixture,chain_GAS_tripeptide_seed,glycine+alanine+serine,C8H15N3O5,tripeptide_seed,materialized_from_frozen_chain_formula_packet,not_read,closed,closed,not_computed,no_score,2b12d459292f3159f6a99126c0e1aeb3cd0679b6b8c47c51838ccf88b77a2201
