transition_packet_id,occurrence_id,transition_family,formula_basis,route_or_chain_basis,native_transition_status,target_value_read_status,si_report_status,metric_report_status,subject_reference_phase_lock_status,hyperfine_c6_divisibility_status,residual_status,score_status,row_sha256
transition_mol_component_water,mol_component_water,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,39a3498d33424bb85533b921e7726f3bb353a8f4f413f3614cf5c32b086c573e
transition_mol_component_carbon_dioxide,mol_component_carbon_dioxide,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,19bded4185e112f7881287c40098c9ccc6665b589b3ca78c8354d04d9a5740d3
transition_mol_component_ammonia,mol_component_ammonia,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,7ae2360e94fd2bf16ee99dbbe79db85a7d7f66002ccb90e22726c9ff61dbd301
transition_mol_component_methane,mol_component_methane,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,8af895c666090da2de733f5cd93ee735c53226f78b34f7a737a2dda14ce9e506
transition_mol_component_formaldehyde,mol_component_formaldehyde,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,9ac6f7666d9fbb4f0d71fee219a3d5530fc611c996022eb9940dcb3180b40305
transition_mol_component_hydrogen_cyanide,mol_component_hydrogen_cyanide,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,3a2402ee76f889cbb8a40c503f61afdc274d5d1d9bd9ce91e727e1da27257f51
transition_mol_component_phosphate,mol_component_phosphate,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,4c1ab4c1a5a3fdae784b55468c4daa889460879e9206aeb3f2573f9bc9582ad6
transition_mol_component_ribose,mol_component_ribose,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,f283b7776688d18b013d70efb2688e2da555cbeeb0ed2ef4dc57094168ae58a9
transition_mol_component_deoxyribose,mol_component_deoxyribose,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,8006956eb824cb6d1888d287018b2edd8bf2ed7c3793c2b819a3f38e44efbed7
transition_mol_component_adenine,mol_component_adenine,molecular_matter_native_transition_declaration,declared_formula_packet,component_fixture,declared_not_measured,not_read,closed,closed,closed,not_applicable_molecular_transition_atlas_seed,not_computed,no_score,4eae489502377e795b7b5a83b8cceb4ddd4b8f721a0d12d30e799611f8883b0a
