target_packet_id,lane,source,source_accession,source_release_or_snapshot,source_record_url_or_path,acquisition_utc,raw_sha256,normalized_sha256,normalizer_script,normalizer_version,license_or_terms_ref,target_status,leakage_role,release_status,name,formula,canonical_smiles,inchi_key,charge,exact_mass,rdkit_parse_status,rdkit_canonical_status
pubchem_water,molecular_compound,PubChem,query:water,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=water,2026-06-14T00:00:00Z,2d9cc929df93bd07c24aba90bcb4d0fc2a1ae3e9a5d2d87643e1e27dd3155897,2d9cc929df93bd07c24aba90bcb4d0fc2a1ae3e9a5d2d87643e1e27dd3155897,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,water,H2O,O,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_carbon_dioxide,molecular_compound,PubChem,query:carbon dioxide,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=carbon%20dioxide,2026-06-14T00:00:00Z,0c59c1c035d1de044bf9478ee365df5d4a6946cd87031ec56fc6b2259d889c81,0c59c1c035d1de044bf9478ee365df5d4a6946cd87031ec56fc6b2259d889c81,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,carbon dioxide,CO2,O=C=O,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_ammonia,molecular_compound,PubChem,query:ammonia,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=ammonia,2026-06-14T00:00:00Z,038937102fc8064e99cba1c6c9ac6c9e08758c90e876015b5fbcf1497e1ea7d0,038937102fc8064e99cba1c6c9ac6c9e08758c90e876015b5fbcf1497e1ea7d0,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,ammonia,H3N,N,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_methane,molecular_compound,PubChem,query:methane,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=methane,2026-06-14T00:00:00Z,cffb32e812bf187e731911c558272fac608040575566269208767007ee2fced9,cffb32e812bf187e731911c558272fac608040575566269208767007ee2fced9,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,methane,CH4,C,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_formaldehyde,molecular_compound,PubChem,query:formaldehyde,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=formaldehyde,2026-06-14T00:00:00Z,a154d8c8c448e5b1d639d551f9783359227ebfc28bd777146cd14a2880f94760,a154d8c8c448e5b1d639d551f9783359227ebfc28bd777146cd14a2880f94760,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,formaldehyde,CH2O,C=O,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_hydrogen_cyanide,molecular_compound,PubChem,query:hydrogen cyanide,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=hydrogen%20cyanide,2026-06-14T00:00:00Z,07bee8a080f5b5c824ac7a5f2524fdd0d425308db216f53eb977aba835bca3eb,07bee8a080f5b5c824ac7a5f2524fdd0d425308db216f53eb977aba835bca3eb,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,hydrogen cyanide,CHN,C#N,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_phosphate,molecular_compound,PubChem,query:phosphate,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=phosphate,2026-06-14T00:00:00Z,2da927d813bd34da9bc56d8ee441478332e2e7fa96454257e121b719eae402d1,2da927d813bd34da9bc56d8ee441478332e2e7fa96454257e121b719eae402d1,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,phosphate,H3O4P,OP(=O)(O)O,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_ribose,molecular_compound,PubChem,query:ribose,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=ribose,2026-06-14T00:00:00Z,0ca84442ea1c6fe0921c7d781c882486baf9e9c184fa10225148c9b7b22c1465,0ca84442ea1c6fe0921c7d781c882486baf9e9c184fa10225148c9b7b22c1465,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,ribose,C5H10O5,OCC1OC(O)C(O)C1O,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_deoxyribose,molecular_compound,PubChem,query:deoxyribose,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=deoxyribose,2026-06-14T00:00:00Z,4e2d592ec42d30f8822a3f3efb7c40a105621319f6fd65f1abf77f9059823d06,4e2d592ec42d30f8822a3f3efb7c40a105621319f6fd65f1abf77f9059823d06,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,deoxyribose,C5H10O4,OCC1OC(O)CC1O,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_adenine,molecular_compound,PubChem,query:adenine,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=adenine,2026-06-14T00:00:00Z,6c4db32a68eb3ebc9b853bcfdd405f4303c3643cb28f1fac240a7a6973ac935a,6c4db32a68eb3ebc9b853bcfdd405f4303c3643cb28f1fac240a7a6973ac935a,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,adenine,C5H5N5,Nc1ncnc2[nH]cnc12,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_guanine,molecular_compound,PubChem,query:guanine,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=guanine,2026-06-14T00:00:00Z,eca9edc7b333c37f426a9cca7168b1d3ccdd436cfee67a13cd6d6ba68d5db202,eca9edc7b333c37f426a9cca7168b1d3ccdd436cfee67a13cd6d6ba68d5db202,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,guanine,C5H5N5O,Nc1nc2[nH]cnc2c(=O)[nH]1,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
pubchem_cytosine,molecular_compound,PubChem,query:cytosine,offline_fixture_2026-06-14,https://pubchem.ncbi.nlm.nih.gov/#query=cytosine,2026-06-14T00:00:00Z,563336074db424c0298f4f432ea725db396d32fd48553a06cf39007f0f4f190a,563336074db424c0298f4f432ea725db396d32fd48553a06cf39007f0f4f190a,manual-2/scripts/acquire_pubchem_molecular_data.py,v40.02r02,PubChem public data terms; offline locator fixture only,locator_fixture_no_network_fetch,target_only,scaffold_only_no_chain_score,cytosine,C4H5N3O,Nc1ncc(=O)[nH]1,deferred_no_network_fetch,0,deferred_no_network_fetch,not_evaluated_in_target_packet,fixture_smiles_only
