molecule_id,canonical_smiles,formula,heavy_atom_count,total_atom_count,bond_count,ring_count,aromatic_ring_count,heteroatom_count,formal_charge,rdkit_version,rdkit_status,leakage_role
water,O,H2O,1,3,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,1,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
carbon_dioxide,O=C=O,CO2,3,3,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,2,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
ammonia,N,H3N,1,4,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,1,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
methane,C,CH4,1,5,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,0,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
formaldehyde,C=O,CH2O,2,4,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,1,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
hydrogen_cyanide,C#N,CHN,2,3,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,1,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
phosphate,OP(=O)(O)O,H3O4P,5,8,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,5,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
ribose,OCC1OC(O)C(O)C1O,C5H10O5,10,20,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,5,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
deoxyribose,OCC1OC(O)CC1O,C5H10O4,9,19,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,4,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
adenine,Nc1ncnc2[nH]cnc12,C5H5N5,10,15,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,5,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
guanine,Nc1nc2[nH]cnc2c(=O)[nH]1,C5H5N5O,11,16,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,6,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
cytosine,Nc1ncc(=O)[nH]1,C4H5N3O,8,13,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,4,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
uracil,O=c1cc[nH]c(=O)[nH]1,C4H4N2O2,8,12,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,4,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
thymine,Cc1c[nH]c(=O)[nH]c1=O,C5H6N2O2,9,15,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,4,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
glycine,NCC(=O)O,C2H5NO2,5,10,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,3,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
alanine,CC(N)C(=O)O,C3H7NO2,6,13,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,3,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
serine,NC(CO)C(=O)O,C3H7NO3,7,14,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,4,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
methionine,CSCCC(N)C(=O)O,C5H11NO2S,9,20,deferred_offline_scaffold,deferred_offline_scaffold,deferred_offline_scaffold,4,0,deferred_optional_dependency,offline_fixture_not_value_map,comparison_only
