source_path,bundle_path,payload_class,payload_status,origin_class,required_for_release,embedding_class,payload_byte_count,payload_sha256,inline_embedding_limit_bytes,redistribution_status,license_or_terms_ref,source_url,retrieval_or_registration_timestamp_utc,payload_pack_id
manual-2/data/protein/external_payload_embedding_policy.csv,external_payloads/EMBEDDING_POLICY.csv,external_payload_embedding_policy,policy_applied,release_policy_metadata,yes,inline_bundle,2013,6403cb1e66336404752bc75bb8ca113e9849d606a14d08841aac6044002de883,52428800,project_generated,MIT,release_local,2026-06-19T00:00:00Z,
manual-2/data/protein/external_payload_bundle_status.json,external_payloads/STATUS.json,payload_bundle_status_card,current_policy_status,release_policy_metadata,yes,inline_bundle,2478,e1b9b9e52fb7a52e9a039a172fd8dc38e1be102003e4ad8584254e69b0d5df1c,52428800,project_generated,MIT,release_local,2026-06-19T00:00:00Z,
manual-2/data/protein/external_pdb_candidate_universe_queries/rcsb_search_candidate_universe_query_r24.json,external_payloads/pdb_candidate_universe/rcsb_search_candidate_universe_query_r24.json,candidate_universe_archive_query_specification,hash_locked_query_spec_response_not_materialized,release_policy_metadata,yes,inline_bundle,1565,c32df05574d61df6d1877b3d781a0ca2f77425bf61790cbdee42cef1327bbc29,52428800,project_generated_query_specification,project_license_and_RCSB_Search_API_terms,https://search.rcsb.org/,2026-06-19T00:00:00Z,
manual-2/data/protein/external_pdb_payloads/1CRN.cif,external_payloads/pdb_coordinates/1CRN.cif,coordinate_byte_payload,byte_hash_locked,archive_external,yes,inline_bundle,69506,23787562c427d7c1abe5420e86d5f1d0a6c7007dec1e8ce85645a6d69c32e8ba,52428800,public_archive_payload_redistribution_under_wwPDB_usage_policy,https://www.wwpdb.org/about/usage-policies,https://files.rcsb.org/download/1CRN.cif,2026-06-17T00:00:00Z,
manual-2/data/protein/external_pdb_probe_evidence_snapshots/1crn_official_entry_map_docs_parsed_snapshot.json,external_payloads/pdb_probe_evidence/1crn_official_entry_map_docs_parsed_snapshot.json,release_local_parsed_official_evidence_snapshot,hash_locked,release_local_derived,yes,inline_bundle,3378,df2839e04e269a49335fcbd0a58ce3ce38c2af8161afe6b8fdf1ffb7e23a9127,52428800,project_generated_from_official_page_and_locked_archive_evidence,project_license_and_official_source_references,https://www.rcsb.org/structure/1CRN ; https://www.rcsb.org/docs/general-help/electron-density-maps-and-coefficient-files,2026-06-19T00:00:00Z,
manual-2/data/protein/external_pdb_validation_payloads/1crn_full_validation.pdf.gz,external_payloads/pdb_validation/1crn_full_validation.pdf.gz,validation_archive_pdf_gz,archive_payload_byte_hash_locked,archive_external,yes,inline_bundle,347318,a5332328f61705d7e7acdcd3bea09267e5f5f55a1c8d9cefde0760205db6195d,52428800,public_archive_payload_redistribution_under_wwPDB_usage_policy,https://www.wwpdb.org/about/usage-policies,https://files.rcsb.org/validation/download/1crn_full_validation.pdf.gz,2026-06-19T00:00:00Z,
manual-2/data/protein/external_pdb_validation_payloads/1crn_full_validation_report_archive_regenerated_snapshot.json,external_payloads/pdb_validation/1crn_full_validation_report_archive_regenerated_snapshot.json,release_local_archive_regenerated_validation_snapshot,hash_locked,release_local_derived,yes,inline_bundle,3856,a39125fa6a677c2a3f2e9a56cb1e0d090f825cd63d4be91c9172e15c9191918a,52428800,project_generated_from_byte_locked_archive_payloads,project_license_and_archive_reference,multiple_locked_validation_payloads,2026-06-19T00:00:00Z,
manual-2/data/protein/external_pdb_validation_payloads/1crn_full_validation_report_parsed_snapshot.json,external_payloads/pdb_validation/1crn_full_validation_report_parsed_snapshot.json,release_local_parsed_validation_snapshot,hash_locked,release_local_derived,yes,inline_bundle,2820,6b79a4de285ab03b300d3e7d745b3d8729fdeb4159ebfdeae8e0ffe2ed57d732,52428800,project_generated_from_public_archive_evidence,project_license_and_archive_reference,https://files.rcsb.org/validation/view/1crn_full_validation.pdf,2026-06-18T00:00:00Z,
manual-2/data/protein/external_pdb_validation_payloads/1crn_validation.cif.gz,external_payloads/pdb_validation/1crn_validation.cif.gz,validation_archive_cif_gz,archive_payload_byte_hash_locked,archive_external,yes,inline_bundle,3011,0d822c7f3e60f01852e5f426e7602223ef7b3ce61584f2f121e890393ea4d25e,52428800,public_archive_payload_redistribution_under_wwPDB_usage_policy,https://www.wwpdb.org/about/usage-policies,https://files.rcsb.org/validation/download/1crn_validation.cif.gz,2026-06-19T00:00:00Z,
manual-2/data/protein/external_pdb_validation_payloads/1crn_validation.xml.gz,external_payloads/pdb_validation/1crn_validation.xml.gz,validation_archive_xml_gz,archive_payload_byte_hash_locked,archive_external,yes,inline_bundle,2192,c67174996cef25bfd3d7a61e1ad21a88c83d07d9758f6a0a20642b0cd743719d,52428800,public_archive_payload_redistribution_under_wwPDB_usage_policy,https://www.wwpdb.org/about/usage-policies,https://files.rcsb.org/validation/download/1crn_validation.xml.gz,2026-06-19T00:00:00Z,
