check_id,check_name,gate_type,failure_mode,blocked_lane,check_result,score_input_status
PDB-EXT-RES-TABLE-001,residue_table_reads_only_locked_byte_hash_payload,payload_lock,coordinate_payload_sha256_mismatch_or_unlocked_payload,residue_coordinate_table,active_pass,residue_table_gate_only_no_contact_map_or_score
PDB-EXT-RES-TABLE-002,coordinate_payload_sha256_matches_r13_lock,hash_integrity,r13_hash_lock_not_used,residue_coordinate_table,active_pass,residue_table_gate_only_no_contact_map_or_score
PDB-EXT-RES-TABLE-003,chain_id_A_filter_applied,chain_selection,wrong_chain_selected,residue_coordinate_table,active_pass,residue_table_gate_only_no_contact_map_or_score
PDB-EXT-RES-TABLE-004,atom_selector_CA_filter_applied,atom_selection,non_CA_atom_selected,residue_coordinate_table,active_pass,residue_table_gate_only_no_contact_map_or_score
PDB-EXT-RES-TABLE-005,model_policy_applied,model_selection,wrong_model_selected,residue_coordinate_table,active_pass,residue_table_gate_only_no_contact_map_or_score
PDB-EXT-RES-TABLE-006,altloc_policy_applied_or_recorded,altloc_selection,altloc_policy_missing,residue_coordinate_table,active_pass,residue_table_gate_only_no_contact_map_or_score
PDB-EXT-RES-TABLE-007,missing_residue_policy_recorded,missing_residue_audit,missing_residues_not_recorded,residue_coordinate_table,active_pass,residue_table_gate_only_no_contact_map_or_score
PDB-EXT-RES-TABLE-008,no_contact_map_derived_in_r14,contact_map_guard,contact_map_derived_in_residue_table_gate,external_contact_map,active_pass,residue_table_gate_only_no_contact_map_or_score
PDB-EXT-RES-TABLE-009,no_external_residual_score_computed_in_r14,score_guard,score_computed_in_residue_table_gate,external_score,active_pass,residue_table_gate_only_no_contact_map_or_score
PDB-EXT-RES-TABLE-010,coordinate_metrics_remain_deferred,metric_guard,RMSD_TM_score_GDT_released,coordinate_metrics,active_pass,residue_table_gate_only_no_contact_map_or_score
PDB-EXT-RES-TABLE-011,AOD_motif_curling_curls_and_SADAR_stay_upstream_of_future_target_join,detection_order,target_coordinates_used_as_AOD_premise,AOD_freeze,active_pass,residue_table_gate_only_no_contact_map_or_score
