counterfactual_order,counterfactual_id,form_id,mutation_class,mutation_fields,original_packet_sha256,mutated_packet_sha256,packet_hash_change_status,expected_compatibility,observed_compatibility,observed_failure_reasons,counterfactual_audit_status,native_source_row_change_status,counterfactual_row_sha256
0,global_duplicate_occurrence_row,global_packet_set,global_packet_set_closure,duplicate_occurrence_row,4d2cd4c97a5faac5083adbd535f631cee40618c234c40f3c0e10c53d4c6c32b4,c3535a4439012501810f72cf7fb90dd14d24b89fb32de1db73fb38d0378962be,changed,failed,failed,global_occurrences_duplicate_form_id;global_occurrences_row_count_mismatch,passed,unchanged_source_global_packet_counterfactual_only,572591482985c286da0fc6f70015c8e7e452749792c071ece597d855d7acaad7
1,global_duplicate_measure_packet,global_packet_set,global_packet_set_closure,duplicate_measure_packet,4d2cd4c97a5faac5083adbd535f631cee40618c234c40f3c0e10c53d4c6c32b4,4c8b2504b4ae754d852b71f6d1247344b2a8405e7417e7004f8900b842ab1756,changed,failed,failed,global_measures_duplicate_form_id;global_measures_row_count_mismatch,passed,unchanged_source_global_packet_counterfactual_only,0296d6c6af7ef011071eb29ece5163bc5bac58b5baee5d4589d0128ca1ada86d
2,global_unrelated_registry_row,global_packet_set,global_packet_set_closure,unrelated_registry_row,4d2cd4c97a5faac5083adbd535f631cee40618c234c40f3c0e10c53d4c6c32b4,92248dfd5cf0d3edcd835dfacfe52cc56aa671a9097e198a6f30fc3e18f5662c,changed,failed,failed,global_registries_row_count_mismatch;global_registry_foreign_form_id;global_registry_form_class_set_mismatch,passed,unchanged_source_global_packet_counterfactual_only,0de7ebfa9e41c290acf7ef36b4a962e9cfd77710915ae9abb1e7b26f8dafde89
3,global_unrelated_enumeration_row,global_packet_set,global_packet_set_closure,unrelated_enumeration_row,4d2cd4c97a5faac5083adbd535f631cee40618c234c40f3c0e10c53d4c6c32b4,34fe86a0fcea088e02a985485b39dbfeb74cc0ba315d9ea3b8f652362abe5b49,changed,failed,failed,global_enumeration_canonical_row_count_mismatch;global_enumeration_foreign_form_id;global_enumeration_row_count_mismatch,passed,unchanged_source_global_packet_counterfactual_only,0c55389967abfe3fb10ac9e3e76f9ec0180af8209a97a85b6ecc278b290ac6d8
4,global_unexpected_inverse_row,global_packet_set,global_packet_set_closure,unexpected_inverse_row,4d2cd4c97a5faac5083adbd535f631cee40618c234c40f3c0e10c53d4c6c32b4,e3ec6834550a0a383d2ad7e50babb768ebb87e70772b5c57889af31f1061636e,changed,failed,failed,global_inverse_foreign_form_id;global_inverse_form_set_mismatch;global_inverse_row_count_mismatch,passed,unchanged_source_global_packet_counterfactual_only,2611fba47923c889dde5fd66e82c4f2660bc33ab2b15b461f13590b99a701d84
5,global_swapped_physical_form_blocks,global_packet_set,canonical_serialization,swapped_physical_form_blocks,4d2cd4c97a5faac5083adbd535f631cee40618c234c40f3c0e10c53d4c6c32b4,3996b16821e2581d421d28217ed81232002804fb60a95fd488260e93bacf4032,changed,failed,failed,global_enumeration_canonical_serialization_mismatch;global_enumeration_physical_order_mismatch,passed,unchanged_source_global_packet_counterfactual_only,cf40492d0c4840680551258d6940a758c3d243dd523f578c3a3e867b9316ac1e
6,global_stable_cross_form_interleaving,global_packet_set,canonical_serialization,stable_cross_form_interleaving,4d2cd4c97a5faac5083adbd535f631cee40618c234c40f3c0e10c53d4c6c32b4,9ad3f5d9cf22e96a4ec4118543c6f74818c743f3d32627f309f5393a696b215f,changed,failed,failed,global_enumeration_canonical_serialization_mismatch;global_enumeration_physical_order_mismatch,passed,unchanged_source_global_packet_counterfactual_only,269066307f0091f80a9311dcf8209c43f2c3e68c4310326deda9780b435cc06d
7,global_adjacent_physical_row_transposition,global_packet_set,canonical_serialization,adjacent_physical_row_transposition,4d2cd4c97a5faac5083adbd535f631cee40618c234c40f3c0e10c53d4c6c32b4,94a3a3a48bd2e10cb4238a6d5b0c4285f18f88095ce08b41cc08c4ebd1a00294,changed,failed,failed,global_enumeration_canonical_serialization_mismatch;global_enumeration_physical_order_mismatch,passed,unchanged_source_global_packet_counterfactual_only,ccf474032220a6e499e9fd4b7ade5d2385075f7c4a2aa55be8a05ef215417748
8,global_foreign_measure_contract_identity,global_packet_set,pre_map_identity,foreign_measure_contract_identity,4d2cd4c97a5faac5083adbd535f631cee40618c234c40f3c0e10c53d4c6c32b4,44304d2b02c445aea721bb6b79205da220acf957c7f9ca3eb75c915d9e0883bf,changed,failed,failed,global_measures_support_measure_id_mismatch,passed,unchanged_source_global_packet_counterfactual_only,a08ddcc842264b5e43909597cc823a4cdab92763441cb84063b83edd8cd92c73
9,global_foreign_read_only_family_identity,global_packet_set,pre_map_identity,foreign_read_only_family_identity,4d2cd4c97a5faac5083adbd535f631cee40618c234c40f3c0e10c53d4c6c32b4,d2a428110be83ae1644eae9fa5110048a3ef02bd693552052b1a76129af21f74,changed,failed,failed,global_read_only_support_family_id_mismatch,passed,unchanged_source_global_packet_counterfactual_only,a3a8f471dcc3163bfccbf05302bd758056512b20cc42c7fd547f329ea77417aa
