artifact_role,artifact_path,artifact_bytes,artifact_sha256,freeze_status,manifest_row_sha256
frozen_main_source_table,appendices/J_ao_field_fractal_properties.tex,3259,b143575b58df1cb5917a7891ffc2af9fd27d521f2ec4d1edfc06d8f54b87dc12,frozen_before_compatibility_audit,b8b68d1174b1bb62838eee61b33019d87a81b469b7a3ca452c74912af746a730
primitive_C6_support_policy,manual/data/c6/c6_recurrence_support_policy.csv,1609,dca673075f255b325a1714d4486f621243be5cf828d53b3edb6d29fa8671471d,frozen_before_compatibility_audit,bf0f22e116246c5ea22950b22bb9ea80057451e563c4161a86de65ec96e2e93f
gate_generator,manual/scripts/build_consequent_six_slot_form_compatibility_gate.py,113928,b89c037244be29fd1fc0642f1725816c55fc574b96fe618f00d4d42d1065dbb2,frozen_before_compatibility_audit,c21998e4a60da9cee594c81056c06b3f977ea8baf6bb440a9be4d47c36c6f3af
consequent_six_slot_artifact_retyping_registry,manual/data/c6/consequent_six_slot_artifact_retyping_registry.csv,1158,a5bfac05a19af780d232d1102204babd51adbc44bcc48c9436eac4b39a7764a9,frozen_before_compatibility_audit,d6d94dc7411350d21993b320f92d5febcd74d51535d855513d2209caea908478
consequent_six_slot_branch_inverse_audit,manual/data/c6/consequent_six_slot_branch_inverse_audit.csv,926,5f397f471dd8af8fdb2e25956523cf3ffddca87174ebad34ae7a3a7b8bcdca76,frozen_before_compatibility_audit,d7b876cf41673bd859c7a207136bf7845950d8ac9ccfcf289ea2653dbab27aa4
consequent_six_slot_field_accessor_audit,manual/data/c6/consequent_six_slot_field_accessor_audit.csv,805,6ae41174c62e1cccbd4d84859ae9be93ced875271ebd46a1e3f9fa8b0e15e915,frozen_before_compatibility_audit,d254cc3e9ea48affd84abd3d1b75a0cb4f3606573f99356dc0c962167d86dd3d
consequent_six_slot_inverse_solver_domain_contract,manual/data/c6/consequent_six_slot_inverse_solver_domain_contract.csv,600,a615a0cda266ed55d30926a8ebaa510c5f1e34334c41cd61ec2959dad407f681,frozen_before_compatibility_audit,0d3f621eb660b97040d8202dc943abdd3454a89a4a69e3e39f66f0546730eb90
consequent_six_slot_local_dec_admission_contract,manual/data/c6/consequent_six_slot_local_dec_admission_contract.csv,1324,dd12ef4349d84480950cbab83ea57cc0e87a0627006766a53fd3b8685e0d2b75,frozen_before_compatibility_audit,468900c02a9ab3eb3e7afa878717915eb18f7ad26eecf7f2d1e2842aa9d61680
consequent_six_slot_occurrence_card,manual/data/c6/consequent_six_slot_occurrence_card.csv,1365,61b0fd23346e342cbe074df62f4ce924cdf48f349a1f4fc1da9cdcbb296c050f,frozen_before_compatibility_audit,e8ad637c98bab95bfe07f06cac93686d2cd23b92cdfbb5f4f72b82296ffd49fe
consequent_six_slot_rule_contract,manual/data/c6/consequent_six_slot_rule_contract.csv,4041,073ad81bd3b1e7a7dc6c50ec638c5b9c1b6ce7074388eef5bc37caca48b99ae0,frozen_before_compatibility_audit,3484c50bc30d1f79372c7e99d53425d262bd57c14e04ec690d5c7efa89306b42
consequent_six_slot_support_family_enumeration,manual/data/c6/consequent_six_slot_support_family_enumeration.csv,29237,bbf315a8ad8c302fecda62ecc0d113abc53e70cfee55cb963086842361182fd9,frozen_before_compatibility_audit,219f2ba1ed0fb295cd0a67cd74815a15a57ac3e79987a009ae45a4888e803d92
consequent_six_slot_support_family_mass_audit,manual/data/c6/consequent_six_slot_support_family_mass_audit.csv,810,b3d0f41838546f0b307e5c7158e8dd79bf88138270ba7252aaf8898b43540de9,frozen_before_compatibility_audit,25cba447ddc119fdd3d2344b48b20a705d9d9d163a0dadd4989bf8d02e626c19
consequent_six_slot_support_family_measure_contract,manual/data/c6/consequent_six_slot_support_family_measure_contract.csv,1311,4876b832438e1b459b583d4c6b346a8e6b18e7624490678d7ba0a56acdf40231,frozen_before_compatibility_audit,b5fe6062c6adb25e95b4ea736febd046fe8803ee259d7070efddbec2c3317d6a
consequent_six_slot_support_family_read_only_packet,manual/data/c6/consequent_six_slot_support_family_read_only_packet.csv,1217,876b9f980d23ebf9df1ec518ccf899deef073fdcabac6f2dc85fd2b3eb28e254,frozen_before_compatibility_audit,b515c7d3fdc2e7400ff8528bf8953b604a3715436e345ee23f6cfa2d0c86a222
consequent_six_slot_support_family_registry,manual/data/c6/consequent_six_slot_support_family_registry.csv,1650,8f9309ec1e4cc4a45f493748a35387f789d474bda58ffe222d819cea7d63a4f2,frozen_before_compatibility_audit,0ad71927644b19140bb373378965c91beb21e90cca6b22288fd390b3749743a1
