rule_order,rule_id,exact_rule,codomain,role,support_policy_id,support_policy_sha256,support_policy_validation_mode,local_DEC_status,temporal_status,target_value_input_status,rule_row_sha256
0,branch_support,Pi_alpha=q^p+q,positive_integer,finite support-family cardinality,aod_00o8_C6_recurrence_support_policy_v3,fd87c67e8fa5ae86634d6db84802427ef9363eed26ac77857157c7b689fee9ce,hash_verified_semantically_consumed_and_release_pinned,separate_not_materialized,does_not_define_time_or_recurrence,absent,15c4ee3d158de735b663f6e80e4a6cd06b447773a3a8ace2b78934742150ed95
1,support_decomposition,F_pq=D_q^p disjoint_union S_q,finite_disjoint_union,q^p direction words plus q retained support-shell members,aod_00o8_C6_recurrence_support_policy_v3,fd87c67e8fa5ae86634d6db84802427ef9363eed26ac77857157c7b689fee9ce,hash_verified_semantically_consumed_and_release_pinned,separate_not_materialized,does_not_define_time_or_recurrence,absent,2861cbad5fb87711b697ad27583cf23612272c98f7c24dfbcce7bf1a34de4b1f
2,reflection_duration,RD_AO=2*Pi_alpha+1,positive_integer,single-hinge accessor,aod_00o8_C6_recurrence_support_policy_v3,fd87c67e8fa5ae86634d6db84802427ef9363eed26ac77857157c7b689fee9ce,hash_verified_semantically_consumed_and_release_pinned,separate_not_materialized,does_not_define_time_or_recurrence,absent,bae589ce7e1b258faba5eafa2ee0882ec9f5bd4bbe141b6f07a297f43ef5e0d3
3,local_coupling,C3=p+q,positive_integer,"declared occurrence p,q",aod_00o8_C6_recurrence_support_policy_v3,fd87c67e8fa5ae86634d6db84802427ef9363eed26ac77857157c7b689fee9ce,hash_verified_semantically_consumed_and_release_pinned,separate_not_materialized,does_not_define_time_or_recurrence,absent,be331be77069e45842a8718af1aa6ed8b8194311b7e3040cd99a8d4d46fcee7b
4,window_participation,"rhoD_omega=min(RD_AO,L)",nonnegative_integer,declared window L,aod_00o8_C6_recurrence_support_policy_v3,fd87c67e8fa5ae86634d6db84802427ef9363eed26ac77857157c7b689fee9ce,hash_verified_semantically_consumed_and_release_pinned,separate_not_materialized,does_not_define_time_or_recurrence,absent,d3aed49b1317e7c2fa5de9e4193d7e8766805fb581ef7c0abb5922aef4749016
5,duonic_pressure,PD=C3*rhoD_omega,nonnegative_integer,exact accessor,aod_00o8_C6_recurrence_support_policy_v3,fd87c67e8fa5ae86634d6db84802427ef9363eed26ac77857157c7b689fee9ce,hash_verified_semantically_consumed_and_release_pinned,separate_not_materialized,does_not_define_time_or_recurrence,absent,6b6aa38342dc3f6e201904944ca56fb35ce8678e497236baa9d721d9d00e9d5a
6,pending_burden,"QD=C3*max(0,RD_AO-L)",nonnegative_integer,exact accessor,aod_00o8_C6_recurrence_support_policy_v3,fd87c67e8fa5ae86634d6db84802427ef9363eed26ac77857157c7b689fee9ce,hash_verified_semantically_consumed_and_release_pinned,separate_not_materialized,does_not_define_time_or_recurrence,absent,99909a8111a0e991034dd6a2e1d8fdef92c854fcde7fc0f2aad56dedef43c38f
7,capacity_fill,capacity_fill_residual=PD-C3*L,integer,not recurrence closure,aod_00o8_C6_recurrence_support_policy_v3,fd87c67e8fa5ae86634d6db84802427ef9363eed26ac77857157c7b689fee9ce,hash_verified_semantically_consumed_and_release_pinned,separate_not_materialized,does_not_define_time_or_recurrence,absent,5c1a977aee81de55273b7eac9767a008ec961e779626e965a6b94cce87eafde6
8,sheddic_surplus,"X_shedding=max(0,capacity_fill_residual)",nonnegative_integer,scalar surplus only,aod_00o8_C6_recurrence_support_policy_v3,fd87c67e8fa5ae86634d6db84802427ef9363eed26ac77857157c7b689fee9ce,hash_verified_semantically_consumed_and_release_pinned,separate_not_materialized,does_not_define_time_or_recurrence,absent,ed4bfc7136f1f9f11c286aaa79896322c5e8e73d3b2b3cf6814aa54b2db42089
9,compatibility,"all scoped packet identities, cardinalities, hashes, accessors, and inverse rows agree",boolean,support/enclosure only,aod_00o8_C6_recurrence_support_policy_v3,fd87c67e8fa5ae86634d6db84802427ef9363eed26ac77857157c7b689fee9ce,hash_verified_semantically_consumed_and_release_pinned,separate_not_materialized,does_not_define_time_or_recurrence,absent,382df4c3e1ecace5a68522f7d614353f54bc4e3a9c62b47603fcf00370ec2ccd
