enumeration_row_index,support_member_order,support_family_id,support_measure_id,form_id,route_form,member_class,member_class_order,support_member_id,history_word,history_length,direction_alphabet_size,support_shell_member_index,analysis_weight_num,analysis_weight_den,measure_num,measure_den,measure_exact,local_Q4_edge_status,row_time_semantics,target_value_input_status,support_member_row_sha256
0,0,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,form_3_3_6,3:3:6,walk_history,0,form_3_3_6_walk_0_0_0,0.0.0,3,3,,1,1,1,30,1/30,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,58641d8682c4280d67ecf8a4ef462a42264929756e108667625831c9bc7797da
1,1,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,form_3_3_6,3:3:6,walk_history,1,form_3_3_6_walk_0_0_1,0.0.1,3,3,,1,1,1,30,1/30,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,0454b9555ff2acda10dc7f6b690f3e45f92cb00e4694ecd3a408c6ada14d5e2e
2,2,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,form_3_3_6,3:3:6,walk_history,2,form_3_3_6_walk_0_0_2,0.0.2,3,3,,1,1,1,30,1/30,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,d5bf86e4d601c00360b6a9b52be73a9637623626758643e998654d7fa40683e2
3,3,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,form_3_3_6,3:3:6,walk_history,3,form_3_3_6_walk_0_1_0,0.1.0,3,3,,1,1,1,30,1/30,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,4da2a910fd9b8e983dc8f6b992166304cdd19be414cf8c9b5fe737e72612a177
4,4,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,form_3_3_6,3:3:6,walk_history,4,form_3_3_6_walk_0_1_1,0.1.1,3,3,,1,1,1,30,1/30,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,59096df763418cb9df6346cc6827a43fba5c389609385cb70e86d9c5ea10aec4
5,5,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,form_3_3_6,3:3:6,walk_history,5,form_3_3_6_walk_0_1_2,0.1.2,3,3,,1,1,1,30,1/30,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,3f9fae8d8444698367e75a742ce56477dc1258570c9f8c2ba657ff2c921f8748
6,6,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,form_3_3_6,3:3:6,walk_history,6,form_3_3_6_walk_0_2_0,0.2.0,3,3,,1,1,1,30,1/30,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,1748e23a0e0758758d8e808e27784e7bbcffac37faa126d02bf58ccf7ec96759
7,7,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,form_3_3_6,3:3:6,walk_history,7,form_3_3_6_walk_0_2_1,0.2.1,3,3,,1,1,1,30,1/30,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,943fa7cd1c5c39e581b49aab9a7548c0f00edc98f7c5a48c35076563610e4823
8,8,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,form_3_3_6,3:3:6,walk_history,8,form_3_3_6_walk_0_2_2,0.2.2,3,3,,1,1,1,30,1/30,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,747b7a6247f072fad8b13bd85c7320b45b2e58881f278e2772bfebe9d70ebb68
9,9,form_3_3_6_support_family,form_3_3_6_uniform_support_family_measure,form_3_3_6,3:3:6,walk_history,9,form_3_3_6_walk_1_0_0,1.0.0,3,3,,1,1,1,30,1/30,not_a_local_hamming1_edge,non_temporal_support_family_enumeration,absent,17e7f9ee7de8d9a0199452f3e5363c0a2c3bc7a5606217dc1b8d67b7c3ba5802
