field_order,field,type,required,role,atlas_schema_row_sha256
0,element_Z,integer,yes,element identity,2d743f08d55dfa1e0b6a233f018f92a1294ccfbd5ca263835a2eea4a6bbb630c
1,element_symbol,string,yes,registry symbol after identity freeze,20ea00a05eabc79633bed69e3514da7c5aa8f223de4e6e1dc0c47c9d21112d2a
2,isotope_A,integer,yes_for_isotope_row,mass-number scope,3f46a3890caf81ab9b1274a7fac679065326ff1d867d3919bc34566752efa36f
3,neutron_count,integer,yes_for_isotope_row,A_minus_Z,95ef0c13a04b715f9f8643de991f3a8e9d5bb4146bf56c5c0dcca815b7bd45e8
4,charge_state,integer,yes,declared charge scope,1ccb0c9396594d2f31701d546c45ccbf3c9f0a395bc850721f0809ca30d1ea50
5,state_id,string,yes,native state packet,ecb0843a4c706a13fc8e25bda91f11008e86bb494032fc9c09136e55765ca60b
6,transition_channel_id,string,yes_for_transition_row,native transition occurrence,cd9e5d8063339432097e39bea047731502cdb1b5293abd67b92b12d6aa3608b0
7,primitive_support_id,string,yes,shared C6 support/recurrence fixture,065236f2ac766fa0abf5e960cff6e01fe41783cf446fd3012ac8d0847d10292b
8,subject_sadar_packet_id,string,yes_for_transition_row,element transition flow,0966eab43b5b8819b6368d812043e6bda6821130717f74a91d689b1d3b362341
9,drive_sadar_packet_id,string,yes_for_transition_row,declared sheddic-drive flow,a59cf5b417bff55df5a7bad6bbb67caee13bc038faf12af60ea9f330ea232544
10,phase_lock_packet_id,string,yes_for_transition_row,primitive relational temporal lock,29cc20dce882ea36140df5c2f043cdf71c9ca5b9f04c4e84aaf06d14280efa06
11,native_period_ratio_num,integer,yes_when_compared,exact ratio numerator,20082309764e95393bc8b40f0ff77da19b3b12462d1dd54a2782b8ee9823e81d
12,native_period_ratio_den,positive_integer,yes_when_compared,exact ratio denominator,13d634813e5ecf0838b8ad4ed6241a2a05c12141884c8820f41b1876654d8f4a
13,private_bip_to_second_coefficient_status,enum,yes,forbidden,312c29d1fdf84b35f49ccaf37f9b962523d1283119cace4613b2eb8be6097fcb
14,native_packet_sha256,sha256,yes,native packet lock,1a56a91b14d4e95afbbf87ed92a8bd10684f0c2c39533579ed5c02bee6b0a46c
