drive_cadence_domain_id,candidate_order,raw_phase_num,raw_phase_den,canonical_phase_num,canonical_phase_den,canonical_phase_exact,drive_unit,phase_equivalence_rule,canonical_phase_domain,alias_class_policy,alias_representative_rule,alias_class_id,grid_rule_id,grid_derivation,primitive_recurrence_bip_count,grid_denominator,candidate_status,target_frequency_input_status,phase_candidate_sha256
cs133_drive_phase_QmodZ_grid_2N_v1,0,0,12,0,1,0/1,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_0_1,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,7a0fcd82c6f67fd3f4f100e632ad94bc5dfdc12fdc7bfb12f957828760becf0b
cs133_drive_phase_QmodZ_grid_2N_v1,1,1,12,1,12,1/12,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_1_12,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,895ff116b8fd9a89efb4811302996526eeb999d2b1a345285d79fae4caad1777
cs133_drive_phase_QmodZ_grid_2N_v1,2,2,12,1,6,1/6,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_1_6,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,fb26b1c2dbd4036597d0531b8758508500faf7c51268b1df1dccceeffb9a359e
cs133_drive_phase_QmodZ_grid_2N_v1,3,3,12,1,4,1/4,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_1_4,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,a54f4569579af4bb6192644cf341f6b91b5f43e2e30387775608dcf51d6660c6
cs133_drive_phase_QmodZ_grid_2N_v1,4,4,12,1,3,1/3,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_1_3,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,94b3808e2a8b59c4460941e54dedf5212cbe8b93d21c21e10cdb720540d40109
cs133_drive_phase_QmodZ_grid_2N_v1,5,5,12,5,12,5/12,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_5_12,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,f21a9cd32bd21c49d53dd50d66b09e8ef5b1a99f9c403131a2b34e07f893ab05
cs133_drive_phase_QmodZ_grid_2N_v1,6,6,12,1,2,1/2,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_1_2,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,cbd25c38fb4deab34132fac21b07cf3bd5070ae0e5ca76d4d3494f403b207fbd
cs133_drive_phase_QmodZ_grid_2N_v1,7,7,12,7,12,7/12,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_7_12,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,230a590b081fce3a5f281173178623bb3facd61cdf0a4c8580d475f59b7ead35
cs133_drive_phase_QmodZ_grid_2N_v1,8,8,12,2,3,2/3,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_2_3,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,d3a1b21ce191454f7c0199b0bf1117c065da0da31a595ff97833a4377aaae322
cs133_drive_phase_QmodZ_grid_2N_v1,9,9,12,3,4,3/4,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_3_4,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,2f7272dfe20d7141b4c97aee27568ceb4a573a64a455d458c8d436389d4832f2
cs133_drive_phase_QmodZ_grid_2N_v1,10,10,12,5,6,5/6,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_5_6,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,7089741ab27783e00777a47162fcf8404867e5bdd050921220f34970320b6e59
cs133_drive_phase_QmodZ_grid_2N_v1,11,11,12,11,12,11/12,turns_per_bip,theta_equivalent_theta_plus_integer_turns,0_le_theta_lt_1_turn_per_bip,Q_mod_Z,reduced_fraction_in_half_open_unit_interval,phase_alias_11_12,two_samples_per_native_recurrence_slot_v1,k_over_2_times_primitive_recurrence_bip_count,6,12,frozen_for_target_blind_M4_search,absent,7666e7462215e79d75a5ee7e1017d64817060d485a4ca2c7d5efef1400d0de9d
