galaxy,R,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,U_obs,sigma_U,U_gas,U_disk,U_bulge,U_bar,lambda_ret,density_index,gas_star_index,bobbing_index,C_cap,D_BF,U_AO,V_disp,Delta_U,z_U
NGC2403,0.16,24.5,2.83,0.0,23.21,0.0,1105.79,0.0,600.25,138.67000000000002,0.0,538.7041,0.0,269.35205,1.0,0.0,0.0,0.0,3.7136,3.7136,299.06085,17.293375899459306,-301.18915,-2.171984928246917
NGC2403,0.26,35.3,2.46,0.0,35.33,0.0,1006.36,0.0,1246.0899999999997,173.676,0.0,1248.2088999999999,0.0,624.1044499999999,1.0,0.0,0.0,0.0,9.1858,9.1858,697.5908499999999,26.41194521423971,-548.4991499999998,-3.1581747046223994
NGC2403,0.36,43.2,1.12,1.92,46.97,0.0,938.26,0.0,1866.2400000000002,96.76800000000001,3.6864,2206.1809,0.0,1106.77685,1.0,0.0,0.0,0.0,17.6004,17.6004,1247.58005,35.321099218455814,-618.6599500000002,-6.393228649966932
NGC2403,0.46,52.0,1.25,2.29,56.68,0.0,789.78,0.0,2704.0,130.0,5.2441,3212.6223999999997,0.0,1611.5552999999998,1.0,0.0,0.0,0.0,27.1262,27.1262,1828.5648999999999,42.761722369427545,-875.4351000000001,-6.734116153846155
NGC2403,0.56,60.9,2.93,2.64,63.77,0.0,624.65,0.0,3708.81,356.874,6.969600000000001,4066.6129000000005,0.0,2040.2760500000002,1.0,0.0,0.0,0.0,37.1896,37.1896,2337.7928500000003,48.35072750228274,-1371.0171499999997,-3.8417400819336787
NGC2403,0.66,65.8,1.25,3.0,67.56,0.0,511.64,0.0,4329.639999999999,164.5,9.0,4564.3536,0.0,2291.1768,1.0,0.0,0.0,0.0,46.5696,46.5696,2663.7336,51.61137084015498,-1665.9063999999994,-10.127090577507595
NGC2403,0.76,71.7,1.25,3.34,70.83,0.0,469.31,0.0,5140.89,179.25,11.1556,5016.8889,0.0,2519.60005,1.0,0.0,0.0,0.0,56.3692,56.3692,2970.55365,54.50278570862227,-2170.3363500000005,-12.107873640167366
NGC2403,0.86,74.6,1.6,3.68,72.8,0.0,402.53,0.0,5565.159999999999,238.72,13.5424,5299.839999999999,0.0,2663.4623999999994,1.0,0.0,0.0,0.0,65.7728,65.7728,3189.6447999999996,56.476940427045086,-2375.5151999999994,-9.951052278820372
NGC2403,0.96,74.6,1.03,4.02,74.87,0.0,381.19,0.0,5565.159999999999,153.676,16.160399999999996,5605.5169000000005,0.0,2818.9188500000005,1.0,0.0,0.0,0.0,75.7344,75.7344,3424.7940500000004,58.521739977550226,-2140.3659499999985,-13.927782802779866
NGC2403,1.06,76.6,1.12,4.37,77.12,0.0,359.63,0.0,5867.5599999999995,171.584,19.0969,5947.4944000000005,0.0,2992.8441000000003,1.0,0.0,0.0,0.0,86.37940000000002,86.37940000000002,3683.8793000000005,60.69496931377427,-2183.680699999999,-12.726598633905253
NGC2403,1.16,78.5,1.6,4.75,79.47,0.0,345.41,0.0,6162.25,251.20000000000002,22.5625,6315.4809,0.0,3180.30295,1.0,0.0,0.0,0.0,97.69519999999999,97.69519999999999,3961.86455,62.9433439690012,-2200.38545,-8.759496218152867
NGC2403,1.27,83.4,1.8,5.15,82.18,0.0,332.26,0.0,6955.560000000001,300.24,26.522500000000004,6753.552400000001,0.0,3403.2987000000007,1.0,0.0,0.0,0.0,110.90910000000002,110.90910000000002,4290.571500000001,65.50245415249722,-2664.9885000000004,-8.87619404476419
NGC2403,1.36,86.4,1.6,5.51,85.19,0.0,317.57,0.0,7464.960000000001,276.48,30.3601,7257.3360999999995,0.0,3659.0281499999996,1.0,0.0,0.0,0.0,123.35200000000002,123.35200000000002,4645.84415,68.16042950275475,-2819.115850000001,-10.196454897280097
NGC2403,1.47,87.4,1.41,5.76,87.94,0.0,297.25,0.0,7638.760000000001,246.468,33.1776,7733.4436,0.0,3899.8994,1.0,0.0,0.0,0.0,137.739,137.739,5001.8114,70.72348549103049,-2636.9486000000015,-10.69894915364267
NGC2403,1.57,90.3,1.41,5.98,90.77,0.0,286.72,0.0,8154.089999999999,254.646,35.760400000000004,8239.1929,0.0,4155.35685,1.0,0.0,0.0,0.0,151.8975,151.8975,5370.53685,73.2839467414249,-2783.553149999999,-10.931069602507005
NGC2403,1.67,93.3,1.6,6.21,93.98,0.0,271.01,0.0,8704.89,298.56,38.564099999999996,8832.2404,0.0,4454.6843,1.0,0.0,0.0,0.0,167.3173,167.3173,5793.2227,76.11322289852139,-2911.667299999999,-9.7523690380493
NGC2403,1.77,93.3,1.41,6.42,96.86,0.0,252.38,0.0,8704.89,263.106,41.2164,9381.8596,0.0,4732.1462,1.0,0.0,0.0,0.0,182.8056,182.8056,6194.591,78.70572406121426,-2510.298999999999,-9.541017688688205
NGC2403,1.87,95.2,1.25,6.61,99.21,0.0,231.06,0.0,9063.04,238.0,43.6921,9842.624099999999,0.0,4965.00415,1.0,0.0,0.0,0.0,197.8834,197.8834,6548.07135,80.92015416446017,-2514.9686500000007,-10.56709516806723
NGC2403,1.97,97.2,1.6,6.81,101.42,0.0,214.5,0.0,9447.84,311.04,46.376099999999994,10286.0164,0.0,5189.384300000001,1.0,0.0,0.0,0.0,213.2131,213.2131,6895.089100000001,83.03667322334151,-2552.750899999999,-8.20714666923868
NGC2403,2.08,99.1,2.02,7.01,103.79,0.0,203.15,0.0,9820.81,400.364,49.1401,10772.3641,0.0,5435.32215,1.0,0.0,0.0,0.0,230.46400000000003,230.46400000000003,7279.03415,85.31725587476429,-2541.775849999999,-6.3486623422685335
NGC2403,2.18,98.2,2.02,7.27,106.07,0.0,177.77,0.0,9643.24,396.728,52.85289999999999,11250.844899999998,0.0,5678.275349999999,1.0,0.0,0.0,0.0,247.0812,247.0812,7654.924949999999,87.49242795808102,-1988.315050000001,-5.011784018269447
NGC2403,2.28,98.2,1.6,7.54,106.73,0.0,143.26,0.0,9643.24,314.24,56.8516,11391.2929,0.0,5752.49805,1.0,0.0,0.0,0.0,260.5356,260.5356,7836.78285,88.5256056178098,-1806.4571500000002,-5.748654372454175
NGC2403,2.37,98.2,1.0,7.81,106.19,0.0,125.45,0.0,9643.24,196.4,60.99609999999999,11276.3161,0.0,5699.15415,1.0,0.0,0.0,0.0,270.18,270.18,7860.594150000001,88.65999182269306,-1782.645849999999,-9.076608197556002
NGC2403,2.47,97.2,1.12,8.25,105.57,0.0,115.5,0.0,9447.84,217.72800000000004,68.0625,11145.024899999999,0.0,5640.574949999999,1.0,0.0,0.0,0.0,281.1354,281.1354,7889.658149999999,88.82374766919035,-1558.1818500000008,-7.156552441578486
NGC2403,2.57,98.2,1.41,8.77,105.08,0.0,108.64,0.0,9643.24,276.924,76.9129,11041.8064,0.0,5597.8161,1.0,0.0,0.0,0.0,292.5945,292.5945,7938.572099999999,89.09866497316331,-1704.6679000000004,-6.155724675362195
NGC2403,2.68,98.2,1.12,9.31,104.39,0.0,99.02,0.0,9643.24,219.96800000000002,86.6761,10897.2721,0.0,5535.31215,1.0,0.0,0.0,0.0,304.716,304.716,7973.04015,89.29188176984512,-1670.19985,-7.592921925007273
NGC2403,2.78,98.2,1.6,9.95,103.8,0.0,91.66,0.0,9643.24,314.24,99.00249999999998,10774.439999999999,0.0,5486.222499999999,1.0,0.0,0.0,0.0,316.22499999999997,316.22499999999997,8016.022499999999,89.53224279554266,-1627.2175000000007,-5.178263429226071
NGC2403,2.88,99.1,2.69,10.97,103.16,0.0,86.76,0.0,9820.81,533.158,120.34090000000002,10641.9856,0.0,5441.3337,1.0,0.0,0.0,0.0,328.6944,328.6944,8070.8889,89.83812609354672,-1749.9210999999996,-3.2821810795298947
NGC2403,2.98,100.0,2.69,11.96,102.68,0.0,83.79,0.0,10000.0,538.0,143.04160000000002,10543.182400000002,0.0,5414.632800000001,1.0,0.0,0.0,0.0,341.6272,341.6272,8147.650400000001,90.26433625746107,-1852.3495999999986,-3.4430289962825253
NGC2403,3.08,102.0,3.16,13.06,102.46,0.0,81.8,0.0,10404.0,644.64,170.5636,10498.051599999999,0.0,5419.5894,1.0,0.0,0.0,0.0,355.8016,355.8016,8266.002199999999,90.91755716031969,-2137.997800000001,-3.3165763837180458
NGC2403,3.19,101.0,3.4,14.06,102.29,0.0,78.36,0.0,10201.0,686.8,197.6836,10463.244100000002,0.0,5429.305650000001,1.0,0.0,0.0,0.0,371.1565,371.1565,8398.55765,91.64364489695944,-1802.4423499999994,-2.624406450203843
NGC2403,3.29,101.0,3.4,15.05,102.51,0.0,75.36,0.0,10201.0,686.8,226.50250000000003,10508.3001,0.0,5480.65255,1.0,0.0,0.0,0.0,386.7724,386.7724,8574.83175,92.60038741819604,-1626.1682500000006,-2.3677464327315096
NGC2403,3.39,103.0,2.93,16.15,102.82,0.0,71.99,0.0,10609.0,603.58,260.82249999999993,10571.952399999998,0.0,5546.798699999999,1.0,0.0,0.0,0.0,403.30830000000003,403.30830000000003,8773.2651,93.66570930708848,-1835.7348999999995,-3.041411080552701
NGC2403,3.49,107.0,2.46,17.15,103.06,0.0,67.49,0.0,11449.0,526.4399999999999,294.12249999999995,10621.3636,0.0,5604.8043,1.0,0.0,0.0,0.0,419.53290000000004,419.53290000000004,8961.067500000001,94.66291512519568,-2487.932499999999,-4.725956424283868
NGC2403,3.59,110.0,2.46,18.14,102.95,0.0,62.39,0.0,12100.0,541.2,329.05960000000005,10598.702500000001,0.0,5628.41085,1.0,0.0,0.0,0.0,434.7131,434.7131,9106.11565,95.42596947372346,-2993.8843500000003,-5.531937084257207
NGC2403,3.69,112.0,3.4,19.24,103.12,0.0,56.77,0.0,12544.0,761.6,370.1775999999999,10633.734400000001,0.0,5687.044800000001,1.0,0.0,0.0,0.0,451.5084,451.5084,9299.112000000001,96.4319034344962,-3244.887999999999,-4.260619747899158
NGC2403,3.79,114.0,5.1,20.24,102.93,0.0,52.43,0.0,12996.0,1162.8,409.65759999999995,10594.584900000002,0.0,5706.95005,1.0,0.0,0.0,0.0,466.8143,466.8143,9441.46445,97.16719842621788,-3554.5355500000005,-3.056876117991057
NGC2403,3.9,118.0,5.1,21.03,102.5,0.0,47.97,0.0,13924.0,1203.6,442.26090000000005,10506.25,0.0,5695.3859,1.0,0.0,0.0,0.0,481.767,481.767,9549.5219,97.7216552254412,-4374.4781,-3.634494931871054
NGC2403,3.99,118.0,4.85,21.83,101.99,0.0,44.58,0.0,13924.0,1144.6,476.54889999999995,10401.960099999998,0.0,5677.528949999999,1.0,0.0,0.0,0.0,494.0418,494.0418,9629.86335,98.13186714824089,-4294.13665,-3.7516483050847462
NGC2403,4.47,118.0,5.36,25.72,99.49,0.0,31.94,0.0,13924.0,1264.96,661.5183999999999,9898.2601,0.0,5610.64845,1.0,0.0,0.0,0.0,559.6886999999999,559.6886999999999,10088.158049999998,100.43982302851792,-3835.841950000002,-3.0323820120794345
NGC2403,4.97,121.0,2.57,27.81,97.06,0.0,24.17,0.0,14641.0,621.9399999999999,773.3960999999999,9420.643600000001,0.0,5483.717900000001,1.0,0.0,0.0,0.0,620.6039,620.6039,10448.5491,102.21814467109057,-4192.4509,-6.7409250088432975
NGC2403,5.47,124.0,0.22,29.41,94.4,0.0,15.97,0.0,15376.0,54.56,864.9481,8911.36,0.0,5320.6281,1.0,0.0,0.0,0.0,677.2407,677.2407,10738.5537,103.62699310507857,-4637.4463,-84.99718291788855
NGC2403,5.96,125.0,0.88,30.7,91.13,0.0,11.31,0.0,15625.0,220.0,942.49,8304.676899999999,0.0,5094.828449999999,1.0,0.0,0.0,0.0,726.1068,726.1068,10903.68285,104.42070125219423,-4721.317150000001,-21.460532500000003
NGC2403,6.46,126.0,0.45,31.7,87.9,0.0,7.9,0.0,15876.0,113.4,1004.89,7726.410000000001,0.0,4868.095,1.0,0.0,0.0,0.0,772.6160000000001,772.6160000000001,11049.023000000001,105.11433299032059,-4826.976999999999,-42.56593474426807
NGC2403,6.96,126.0,0.55,33.29,84.95,0.0,5.51,0.0,15876.0,138.60000000000002,1108.2241,7216.5025000000005,0.0,4716.475350000001,1.0,0.0,0.0,0.0,822.9504000000001,822.9504000000001,11300.078550000002,106.3018275948255,-4575.921449999998,-33.015306277056254
NGC2403,7.45,126.0,0.45,34.99,81.98,0.0,3.88,0.0,15876.0,113.4,1224.3001000000002,6720.720400000001,0.0,4584.6603000000005,1.0,0.0,0.0,0.0,871.4265,871.4265,11556.0723,107.49917348519476,-4319.9277,-38.09460052910053
NGC2403,7.95,126.0,0.24,36.58,79.11,0.0,2.71,0.0,15876.0,60.48,1338.0964,6258.3921,0.0,4467.29245,1.0,0.0,0.0,0.0,919.7355,919.7355,11825.176449999999,108.74362716959554,-4050.823550000001,-66.97790261243388
NGC2403,8.45,127.0,1.45,38.38,76.42,0.0,1.9,0.0,16129.0,368.3,1473.0244000000002,5840.0164,0.0,4393.0326000000005,1.0,0.0,0.0,0.0,970.0600000000001,970.0600000000001,12153.512600000002,110.24297075097351,-3975.487399999998,-10.79415530817268
NGC2403,8.94,128.0,1.12,39.97,74.09,0.0,1.34,0.0,16384.0,286.72,1597.6009,5489.328100000001,0.0,4342.264950000001,1.0,0.0,0.0,0.0,1019.6963999999999,1019.6963999999999,12499.83615,111.80266611311198,-3884.163850000001,-13.546888427734377
NGC2403,9.44,128.0,1.68,41.47,71.75,0.0,0.93,0.0,16384.0,430.08,1719.7609,5148.0625,0.0,4293.79215,1.0,0.0,0.0,0.0,1068.7967999999998,1068.7967999999998,12844.166549999998,113.33210732180002,-3539.833450000002,-8.230639532180064
NGC2403,9.94,127.0,2.56,42.57,69.58,0.0,0.65,0.0,16129.0,650.24,1812.2049,4841.3764,0.0,4232.8931,1.0,0.0,0.0,0.0,1114.771,1114.771,13151.061099999999,114.67807593433018,-2977.938900000001,-4.579753475639765
NGC2403,10.43,127.0,1.24,43.96,67.61,0.0,0.46,0.0,16129.0,314.96,1932.4816,4571.1121,0.0,4218.03765,1.0,0.0,0.0,0.0,1163.6751,1163.6751,13527.43845,116.3075167390311,-2601.5615500000004,-8.259974441198883
NGC2403,10.93,128.0,0.21,45.06,65.75,0.0,0.32,0.0,16384.0,53.76,2030.4036,4323.0625,0.0,4191.93485,1.0,0.0,0.0,0.0,1211.1533,1211.1533,13881.16125,117.81834004092912,-2502.838750000001,-46.555780319940496
NGC2403,11.43,130.0,1.13,45.76,64.12,0.0,0.22,0.0,16900.0,293.79999999999995,2093.9775999999997,4111.374400000001,0.0,4149.6648000000005,1.0,0.0,0.0,0.0,1255.9284,1255.9284,14197.092,119.15155055642373,-2702.9079999999994,-9.199823008849558
NGC2403,11.92,130.0,2.23,46.15,62.55,0.0,0.16,0.0,16900.0,579.8,2129.8224999999998,3912.5024999999996,0.0,4086.0737499999996,1.0,0.0,0.0,0.0,1295.704,1295.704,14451.70575,120.21524757700247,-2448.294250000001,-4.222653070024148
NGC2403,12.42,132.0,2.68,46.65,61.06,0.0,0.11,0.0,17424.0,707.5200000000001,2176.2225,3728.3236,0.0,4040.3842999999997,1.0,0.0,0.0,0.0,1337.7582,1337.7582,14742.4499,121.41849076643969,-2681.5501000000004,-3.790069680009046
NGC2403,12.92,133.0,2.68,46.95,59.67,0.0,0.08,0.0,17689.0,712.88,2204.3025000000002,3560.5089000000003,0.0,3984.55695,1.0,0.0,0.0,0.0,1377.5304,1377.5304,15004.800150000001,122.494082101953,-2684.199849999999,-3.7652898804847927
