counterfactual_order,counterfactual_id,mutation_class,expected_gate_result,observed_gate_result,observed_failure_reasons,counterfactual_audit_status,counterfactual_row_sha256
0,invalid_Q4_vertex,state_vertex,failed,failed,execution_source_state_hash_mismatch;execution_state_vertex_binding_mismatch;execution_target_state_hash_mismatch;invalid_Q4_vertex;inventory_source_state_hash_mismatch;inventory_target_state_hash_mismatch;kernel_source_state_hash_mismatch;read_only_state_rows_digest_mismatch;state_0_epsilon_Q4_mismatch,passed,bf14fe3679a93708fd18301f81e0aa2a09818dcb27880ca644d4260fddf77e21
1,hamming_distance_two,edge_geometry,failed,failed,epsilon_not_one_hot_TXOR;execution_admitted_edge_binding_mismatch;hamming_distance_not_one;inventory_target_state_hash_mismatch;kernel_inventory_subset_hash_mismatch;read_only_admitted_edge_rows_digest_mismatch;target_vertex_not_canonical_toggle,passed,508c1eb3d4039d0d951d0686608e9169d9c55c9aeb583e78a593dd54002753d1
2,disconnected_event_order,event_order,failed,failed,execution_1_source_epsilon_Q4_mismatch;execution_1_source_state_id_mismatch;execution_hamming_distance_not_one;execution_not_connected;execution_source_state_hash_mismatch;read_only_execution_rows_digest_mismatch,passed,3abac486a0e0a5520d105555bd1a71f26e7496875b5c70b7797aa5123d67e0f0
3,fifth_edge_slot,local_slot_count,failed,failed,event_1_edge_slot_count_mismatch;inventory_row_count_mismatch;kernel_inventory_subset_hash_mismatch,passed,8ede7f7ad1808513e32e36c65ae6065062edd9aff3aa5df163d8ea52297df924
4,kernel_sum_mismatch,kernel_probability,failed,failed,event_0_kernel_probability_sum_mismatch;execution_admitted_edge_binding_mismatch;inventory_event_0_slot_0_P_den_mismatch;inventory_event_0_slot_0_P_exact_mismatch;kernel_inventory_subset_hash_mismatch;kernel_probability_sum_storage_mismatch;kernel_status_not_passed;read_only_admitted_edge_rows_digest_mismatch,passed,8ab7141ed7adc4521121c51b5cdbe66e9d57209c020290e6f342bb51f3baaecf
5,zero_denominator,kernel_probability,failed,failed,event_0_kernel_probability_sum_mismatch;execution_admitted_edge_binding_mismatch;inventory_event_0_slot_0_P_den_mismatch;inventory_event_0_slot_0_P_exact_mismatch;kernel_inventory_subset_hash_mismatch;kernel_probability_sum_storage_mismatch;kernel_status_not_passed;malformed_kernel_probability;read_only_admitted_edge_rows_digest_mismatch,passed,4ae667769a5e4fbec7ee8efabc736fe31265efef8eb968d5d3cd3914619c613e
6,admitted_weight_contract_mutation,kernel_weight_contract,failed,failed,execution_admitted_edge_binding_mismatch;inventory_event_0_slot_0_weight_mismatch;kernel_inventory_subset_hash_mismatch;read_only_admitted_edge_rows_digest_mismatch,passed,946ef8b9f7d52f0c7e007a868b1492f636d2eae74580035d62b81b6a8dfc88c2
7,stored_normalizer_mutation,kernel_normalizer,failed,failed,execution_admitted_edge_binding_mismatch;inventory_event_0_slot_0_Z_mismatch;kernel_inventory_subset_hash_mismatch;read_only_admitted_edge_rows_digest_mismatch,passed,6ec9fcf9d5e10c5ab640e40045999d270ae503b1989007d5e1c0972225327ccf
8,nonreduced_kernel_fraction,kernel_probability,failed,failed,execution_admitted_edge_binding_mismatch;inventory_event_0_slot_0_P_den_mismatch;inventory_event_0_slot_0_P_num_mismatch;kernel_fraction_not_reduced;kernel_inventory_subset_hash_mismatch;read_only_admitted_edge_rows_digest_mismatch,passed,fedccaaa8fb6e7748230547d3fb51aecce0eda3a5c6bc63b5e921f46c29f3ec6
9,admitted_edge_semantic_retyping,edge_semantics,failed,failed,execution_admitted_edge_binding_mismatch;inventory_event_0_slot_0_route_e_B_mismatch;inventory_event_0_slot_0_sigma_e_mismatch;kernel_inventory_subset_hash_mismatch;read_only_admitted_edge_rows_digest_mismatch,passed,bad6a7477382fabbc0d9ea1dbe9000e946bca2852afd99570cfd303adb5e80da
10,occurrence_identity_mismatch,cross_packet_identity,failed,failed,execution_occurrence_scope_binding_mismatch;inventory_occurrence_contract_binding_mismatch;kernel_occurrence_binding_mismatch;occurrence_identity_binding_mismatch;read_only_identity_occurrence_binding_mismatch;state_occurrence_binding_mismatch,passed,e8079978c59b24c954e38b113f815f6fa0b911d04005f5e4fd26f8e5732da5b4
11,occurrence_outer_support_mismatch,cross_packet_scope,failed,failed,execution_occurrence_scope_binding_mismatch;inventory_occurrence_contract_binding_mismatch;kernel_occurrence_binding_mismatch;occurrence_outer_support_id_mismatch;read_only_identity_occurrence_binding_mismatch;state_occurrence_binding_mismatch,passed,1b4c7c621f8823d92be4252dc343c9c7f5e5c8a7f6ec537ade5c4d538c8b84e9
12,occurrence_RD_lane_opened,closed_status,failed,failed,execution_occurrence_scope_binding_mismatch;inventory_occurrence_contract_binding_mismatch;kernel_occurrence_binding_mismatch;occurrence_RD_status_mismatch;read_only_identity_occurrence_binding_mismatch;state_occurrence_binding_mismatch,passed,d06e1cb60398ec338e7d6c10e19532d964424813ba23e2f63acc483fb475c090
13,support_family_reused_as_edge_id,namespace,failed,failed,execution_0_edge_id_mismatch;execution_admitted_edge_binding_mismatch;inventory_event_0_slot_0_edge_id_mismatch;kernel_inventory_subset_hash_mismatch;read_only_admitted_edge_rows_digest_mismatch;read_only_execution_rows_digest_mismatch;support_family_id_reused_as_edge,passed,f1ad8d7d828fa11bd36a73656ee55cc31d2cff1982bb07d32ddf2d801801659b
14,target_input_present,target_quarantine,failed,failed,execution_occurrence_scope_binding_mismatch;inventory_occurrence_contract_binding_mismatch;kernel_occurrence_binding_mismatch;occurrence_target_value_input_status_mismatch;read_only_identity_occurrence_binding_mismatch;state_occurrence_binding_mismatch,passed,65a517274e467a2a2a1abe1497ef73298eb720d1524c301b58398472b3173f79
15,execution_mode_mutation,execution_contract,failed,failed,execution_0_execution_mode_mismatch;execution_mode_mismatch;read_only_execution_rows_digest_mismatch,passed,d7ca50d4e06162667be19f34b56320f6e2a01b64edaa2ca2c84398991acacda6
16,execution_edge_semantic_retyping,execution_semantics,failed,failed,execution_0_route_e_B_mismatch;execution_0_sigma_e_mismatch;read_only_execution_rows_digest_mismatch,passed,01b8cc2abcad8c196fcdf26a3699e5784ae8bedd53be3b7da29e021a0870454a
17,kernel_audit_normalizer_mutation,kernel_audit,failed,failed,execution_kernel_binding_mismatch;kernel_0_normalizer_num_mismatch,passed,d9052bd666979980ca950dc7771039c29fafb39e3aeb621fd0167a9ea1adb777
18,canonical_hinge_axis_mutation,state_identity,failed,failed,execution_source_state_hash_mismatch;execution_state_vertex_binding_mismatch;execution_target_state_hash_mismatch;inventory_source_state_hash_mismatch;inventory_target_state_hash_mismatch;kernel_source_state_hash_mismatch;read_only_state_rows_digest_mismatch;state_1_epsilon_Q4_mismatch,passed,46c077d87e7540e9777f6104600366ef7501f093f2cdebca1aa9e044834ea4d3
19,read_only_hash_mismatch,freeze_integrity,failed,failed,read_only_execution_rows_digest_mismatch,passed,5eb2b64a49941a672c9eeb10d0e4101f4fd538216c10b8459db94ea3fb7530da
20,read_only_ledger_path_mutation,freeze_integrity,failed,failed,read_only_execution_ledger_path_mismatch,passed,91b01b5556e6de903eff15a1d7f97b1437e7cb480ccfad30662163cbf3de2578
