counterfactual_order,counterfactual_id,mutation_class,expected_detector_result,observed_detector_result,observed_failure_reasons,detector_counterfactual_audit_status,detector_counterfactual_row_sha256
0,detector_unknown_field_Balmer_ratio,detector_schema_closure,failed,failed,detector_schema_key_set_mismatch,passed,eeb03baecabdbdcc74b4f0e56f15869771c1e0b4125cf85a61483d6b00b7bb0f
1,detector_unknown_field_metric_duration_seconds,detector_schema_closure,failed,failed,detector_schema_key_set_mismatch,passed,32915a333386b48c208a11ebadbf45a57201b8165962ba8b5dc58c4aa5e75901
2,detector_unknown_field_target_value,detector_schema_closure,failed,failed,detector_schema_key_set_mismatch,passed,0af69b5642a91b1dd9566ab67818ab557cea996a22fa79e53b2e0db373bf0f6b
3,detector_unknown_field_residual,detector_schema_closure,failed,failed,detector_schema_key_set_mismatch,passed,731fe5a95ee8f3cabc69410a97545c5eb41387c8cab0646bcbee06898bf6e24b
4,detector_unknown_field_score,detector_schema_closure,failed,failed,detector_schema_key_set_mismatch,passed,2cf79493552bb5748256836392e8449d60ae2452413af22569ef8734a662f777
5,detector_occurrence_hash_mismatch,detector_binding,failed,failed,detector_occurrence_packet_sha256_mismatch,passed,d2bb3d000b042e70a698da8334bddcb5c36fd232149e49ad7593e4c7b01b7244
6,detector_source_state_hash_mismatch,detector_binding,failed,failed,detector_source_state_row_sha256_mismatch,passed,df5c7ed6e3271f4163b812aaa5594614e03e0a16c29b876d820c4d0223b105ac
7,detector_target_state_hash_mismatch,detector_binding,failed,failed,detector_target_state_row_sha256_mismatch,passed,74cecbc1c04fb10428c3833adb0c3e1eb016ac6d50d82409b680e0d6e255b1eb
8,detector_outbound_edge_hash_mismatch,detector_binding,failed,failed,detector_outbound_admitted_edge_row_sha256_mismatch,passed,37bd1fe6b7e8d134b9a06d05d96c9c89dd2e08423d8e401ed3f15e437b9c10b6
9,detector_return_edge_hash_mismatch,detector_binding,failed,failed,detector_return_admitted_edge_row_sha256_mismatch,passed,b1eefdd8a7d3002aeab26fe60d93e43b62535b733f8b1cf6bccfec5536d20800
10,detector_target_value_opened,detector_binding,failed,failed,detector_target_value_read_status_mismatch,passed,42cd3dd38f8bcf3435647f637ba425b07b945c617f42f21452afdb8e16d25d55
11,detector_classification_mutated,detector_binding,failed,failed,detector_returned_current_relation_mismatch,passed,98458fec3c855e0be326081b4a3f1e188942662b498f958f65698052dc2271c9
12,unchanged_detector_control,control,passed,passed,,passed,6eb5143108f02f0a70bb654dbd85f6047e81d6e64da1a4157527422ebc39e815
