milestone_id,depends_on,dependency_status,dependency_graph_role,dependency_row_sha256
R0,,satisfied,authoritative_execution_order,d6325e73162535965303b75c4c0db197e8663d144c0e87d607b685657f6e3a5c
R1,R0,satisfied,authoritative_execution_order,f2f2c97533495676c2e3dea246ca97fe5bd19921f7799be38cdc6a25e9719aa9
R2,R1,satisfied,authoritative_execution_order,efd3d0c23b0b41fed35e8632129c79d06f570f4fb2da785497ad667988068ca4
R3,R2,pending,authoritative_execution_order,075049f1ad01df710dd3790fc9e7c1f2b2454c64c1da064c471ab688c5c4f9dc
R4,R3,pending,authoritative_execution_order,a43724b4ed2d0cb72fa46da09e67d9e2221154cfd5a56f06e1eca35340a4f813
R5,R4,pending,authoritative_execution_order,2b52a466869d1474e2d7a9d8af7367a2cfcc786647149708f504e8666861f910
R6,R5,pending,authoritative_execution_order,43a031ed3cbfec7970deff8a15e4f88a6aac1f9af1b113093337f2c377e48430
R7,R6,pending,authoritative_execution_order,801e70b17f731bf666cdf16f3f1df77e0ecfbe79f1e9e9e4a6f0a20f55b8ad91
R8,R7,pending,authoritative_execution_order,cfdda70f59d4d33f626b103367125a7427dc198d4848ad9605db317a1d3781fb
R9,R8,pending,authoritative_execution_order,516f59b16a70d0d65c3c5b74e06d33de107357c5533e26769294afd42ef6d288
R10,R9,pending,authoritative_execution_order,0509b1dc7104faf54fee6324dc8e85892b941a722722153427fff1138da4b18a
R11,R10,pending,authoritative_execution_order,cf8c216fa6170c210aa3670157f5a827948b8f5099d9ab6487911b4b0f5e7a7d
R12,R11,pending,authoritative_execution_order,421e037d73f5201dd67a58b38379f5e5bc718350ceddcea46212513ce58035f6
R13,R12,pending,authoritative_execution_order,f68d4da896dda0091bb04779d4ab18a575f5b1232f28b6b5223818edc19d8226
