t,mode,edge,sigma,h1,h2,h3,h4,x,y,z,Q3,Q4,theta,octant,beta_a
0,init,-,0,0,0,0,0,0,0,0,0,0,0,0,5
1,run,e1,1,1,0,0,0,1,0,0,1,1,1,0,5
2,run,e1,1,2,0,0,0,2,0,0,4,4,4,0,5
3,tumble,e2,1,2,1,0,0,2,1,0,5,5,0,0,5
4,run,e2,1,2,2,0,0,2,2,0,8,8,3,0,5
5,tumble,e3,-1,2,2,-1,0,2,2,-1,9,9,4,4,5
6,run,e3,-1,2,2,-2,0,2,2,-2,12,12,2,4,5
7,tumble,e4,1,2,2,-2,1,2,2,-2,12,13,2,4,5
8,run,e4,1,2,2,-2,2,2,2,-2,12,16,2,4,5
9,tumble,e1,-1,1,2,-2,2,1,2,-2,9,13,4,4,5
10,run,e1,-1,0,2,-2,2,0,2,-2,8,12,3,4,5
11,tumble,e2,-1,0,1,-2,2,0,1,-2,5,9,0,4,5
12,run,e2,-1,0,0,-2,2,0,0,-2,4,8,4,4,5
13,tumble,e3,1,0,0,-1,2,0,0,-1,1,5,1,4,5
14,run,e3,1,0,0,0,2,0,0,0,0,4,0,0,5
15,tumble,e4,-1,0,0,0,1,0,0,0,0,1,0,0,5
16,run,e4,-1,0,0,0,0,0,0,0,0,0,0,0,5
17,tumble,e1,1,1,0,0,0,1,0,0,1,1,1,0,5
18,run,e1,1,2,0,0,0,2,0,0,4,4,4,0,5
19,tumble,e2,1,2,1,0,0,2,1,0,5,5,0,0,5
20,run,e2,1,2,2,0,0,2,2,0,8,8,3,0,5
