depth,candidate,baseline_score_tau_like,ring_score_tau_like,delta_score_ring_minus_baseline,baseline_largest_cluster_share,ring_largest_cluster_share,delta_largest_cluster_share,baseline_top32_components,ring_top32_components,baseline_effective_cells_neff,ring_effective_nodes_neff,unchanged_X_exo_total,unchanged_missing_fraction,unchanged_symmetry_net_to_scalar
2,1:2:8,1.401550190138317,1.1526499320239187,-0.2489002581143982,0.5851662364760033,1.0000000000000002,0.4148337635239969,3,1,5.759026665448822,7.189557173772244,7.164256888648602,0.4199999999999998,0.1820827173178314
2,1:2:9,-0.0798863733263846,-0.397471493804835,-0.3175851204784504,0.3533566361107513,0.8826651702415022,0.5293085341307509,2,1,51.37484207086038,34.05094229924595,23959.357777771147,0.6200000000000014,0.0750390924333014
2,1:2:10,2.0834809528407354,1.8352954294943256,-0.2481855233464096,0.5861231381294154,0.9997656770400982,0.4136425389106828,2,1,8.235618251288889,10.171463302194606,79.0450896771031,0.4599999999999998,0.1612688470693359
2,3:3:8,1.7709902640620512,1.4676097935755386,-0.3033804704865126,0.4067075997494024,0.9123417172269233,0.5056341174775209,2,1,42.20398220895856,30.518920303922577,9828.510129177152,0.2600000000000005,0.1456036411952404
3,1:2:8,1.5761022250078902,1.4727153492487537,-0.1033868757591367,0.2942659790316314,0.4665774386301929,0.1723114595985614,12,3,6.1195557008007375,7.345547837593794,5.959609841927888,0.4200000000000001,0.1820844315241149
3,1:2:9,-0.0368069990222909,-0.1058040875245594,-0.0689970885022685,0.2812684945418361,0.3962636420456171,0.1149951475037809,5,7,75.19422290552308,70.9825140051546,23898.54898703304,0.6200000000000002,0.0750425065475013
3,1:2:10,2.2659717627331664,2.1398071316875638,-0.126164631045603,0.2840815041172713,0.4943558891932763,0.2102743850760049,16,3,9.510693666552202,11.273182366428724,77.8753179838049,0.4599999999999994,0.1622369276458858
3,3:3:8,1.8260364661946455,1.7149338931083675,-0.1111025730862782,0.3152858351543412,0.5004567902981383,0.185170955143797,8,4,61.01986871679289,59.714730745669286,9893.221050039696,0.2600000000000041,0.1459769518737728
4,1:2:8,1.5662031210002372,1.5540799835758508,-0.0121231374243864,0.3136516733833341,0.3338569024239782,0.020205229040644,7,6,20.971975848582563,8.34759779351137,6.376438659360406,0.4199999999999999,0.1834195425309792
4,1:2:9,0.099132132205287,-0.107273216650087,-0.206405348855374,0.0544331105359719,0.3984420252949288,0.3440089147589568,9,5,297.6580849923469,71.40454664300958,23950.710973838144,0.6200000000000054,0.0747999891947501
4,1:2:10,2.3361027484027,2.122887644075802,-0.2132151043268981,0.1658954356787406,0.5212539428902379,0.3553585072114972,10,3,36.48087201437321,11.234840585929849,79.08995631052687,0.4599999999999993,0.1616420378264559
4,3:3:8,1.972335739941888,1.7066261405089782,-0.2657095994329097,0.0702293818067132,0.513078714194896,0.4428493323881828,9,3,241.1913991362768,60.18578956732885,9813.87022547068,0.259999999999999,0.145143557083556
