record_type,depth,candidate,rank,coord_or_prefix,epsilon_or_face,mu_or_site,flux_weight,flux_share
cell,2,1:2:8,1,30,1111,-1,1.8007521068661152,0.2513522525580169
cell,2,1:2:8,2,12,1111,1,1.662478392312361,0.2320517561209276
cell,2,1:2:8,3,0,1111,0,1.0739712869770557,0.1499068645456737
cell,2,1:2:8,4,10,1111,1,0.9754884868382904,0.1361604562761983
cell,2,1:2:8,5,32,1111,-1,0.8428200198059128,0.1176423504775936
cell,2,1:2:8,6,32,0111,1,0.188231969830133,0.0262737605247485
cell,2,1:2:8,7,30,1110,-1,0.1538007197860063,0.0214677840530391
cell,2,1:2:8,8,2,1011,1,0.1011604964589077,0.014120165989468
cell,2,1:2:8,9,12,1110,1,0.0833931095505969,0.0116401618265153
cell,2,1:2:8,10,10,1101,1,0.0631403407570959,0.0088132435419978
ring_node,2,1:2:8,1,3,q=4,site=1,1.5524705294127468,0.2166966586405573
ring_node,2,1:2:8,2,1,q=4,site=2,1.451026245511582,0.2025368810840185
ring_node,2,1:2:8,3,1,q=4,site=0,0.9495236145155106,0.1325362321973661
ring_node,2,1:2:8,4,0,q=4,site=2,0.8806564553211857,0.1229236289274525
ring_node,2,1:2:8,5,3,q=4,site=0,0.8531801058587989,0.1190884301218482
ring_node,2,1:2:8,6,3,q=4,site=2,0.2379214914004825,0.0332095142732049
ring_node,2,1:2:8,7,1,q=4,site=1,0.2374170191235586,0.0331390991157413
ring_node,2,1:2:8,8,3,q=3,site=1,0.1842493076840099,0.0257178533025446
ring_node,2,1:2:8,9,3,q=3,site=0,0.1477407185263605,0.0206219180610969
ring_node,2,1:2:8,10,0,q=4,site=0,0.096657415827935,0.0134916178091106
cell,2,1:2:9,1,0,1111,0,1519.185323235464,0.0634067631247165
cell,2,1:2:9,2,2,1110,0,858.5843935690781,0.0358350337071911
cell,2,1:2:9,3,20,0101,0,610.8418096456762,0.0254949158200058
cell,2,1:2:9,4,12,0011,0,602.978427232157,0.0251667191092904
cell,2,1:2:9,5,30,1001,0,558.2550711080114,0.0233000849307383
cell,2,1:2:9,6,10,1101,1,556.0519200957723,0.0232081312551567
cell,2,1:2:9,7,32,1101,-1,549.1262144608312,0.0229190706843694
cell,2,1:2:9,8,30,1111,-1,537.9363812641504,0.0224520367471299
cell,2,1:2:9,9,12,1111,1,529.9868984342437,0.0221202464335648
cell,2,1:2:9,10,10,0111,-1,529.1775846295296,0.0220864678234609
ring_node,2,1:2:9,1,3,q=2,site=0,1310.7948533916692,0.0547090980296556
ring_node,2,1:2:9,2,0,q=4,site=2,1245.7319650530806,0.0519935457622675
ring_node,2,1:2:9,3,0,q=3,site=0,1146.7123024015707,0.0478607278641443
ring_node,2,1:2:9,4,2,q=2,site=0,1035.8128409892952,0.043232078697464
ring_node,2,1:2:9,5,1,q=2,site=2,1026.2401807979588,0.0428325412691186
ring_node,2,1:2:9,6,3,q=3,site=1,925.101068830662,0.0386112631820603
ring_node,2,1:2:9,7,0,q=3,site=1,883.0030014686428,0.0368542015883193
ring_node,2,1:2:9,8,2,q=2,site=2,874.1334567312807,0.0364840103327928
ring_node,2,1:2:9,9,3,q=3,site=2,823.6780046538053,0.0343781336834493
ring_node,2,1:2:9,10,0,q=2,site=0,806.8037747271748,0.0336738481143976
cell,2,1:2:10,1,0,1111,0,15.407220055352235,0.1949168521193444
cell,2,1:2:10,2,12,1111,1,12.38133012999903,0.1566362968348369
cell,2,1:2:10,3,30,1111,-1,11.878540557307332,0.1502755023219129
cell,2,1:2:10,4,32,1111,-1,10.533686525407669,0.1332617442580869
cell,2,1:2:10,5,10,1111,1,9.421162369639614,0.1191871931340047
cell,2,1:2:10,6,10,1101,1,2.6735745570646867,0.0338234110175111
cell,2,1:2:10,7,2,1011,1,1.9881228558975503,0.0251517565989104
cell,2,1:2:10,8,10,0111,-1,1.8121774796038332,0.0229258703735617
cell,2,1:2:10,9,32,0111,1,1.7369952398695654,0.021974739316068
cell,2,1:2:10,10,32,1101,-1,1.6723276437246697,0.0211566290905112
ring_node,2,1:2:10,1,0,q=4,site=2,12.633920445388831,0.1598318187378624
ring_node,2,1:2:10,2,1,q=4,site=2,11.00059531986677,0.1391686107866267
ring_node,2,1:2:10,3,3,q=4,site=1,10.688435044278702,0.1352194688871964
ring_node,2,1:2:10,4,3,q=4,site=0,9.706691600991949,0.1227994255006034
ring_node,2,1:2:10,5,1,q=4,site=0,8.839672854804396,0.1118307650850192
ring_node,2,1:2:10,6,1,q=3,site=2,2.7758153885922057,0.0351168605150722
ring_node,2,1:2:10,7,3,q=3,site=2,2.3858556048058874,0.0301834764759207
ring_node,2,1:2:10,8,0,q=3,site=1,2.2649590859298523,0.0286540137430692
ring_node,2,1:2:10,9,3,q=3,site=1,2.2016459593627093,0.0278530389219161
ring_node,2,1:2:10,10,3,q=4,site=2,2.01710043744435,0.0255183521921999
cell,2,3:3:8,1,0,1111,0,794.218275995691,0.0808075960198637
cell,2,3:3:8,2,2,1110,0,381.9995998780098,0.0388664807643626
cell,2,3:3:8,3,30,1111,-1,296.0451700990189,0.0301210627254857
cell,2,3:3:8,4,12,1111,1,288.4485069075238,0.029348141591799
cell,2,3:3:8,5,10,1101,1,278.69593689709615,0.0283558681055586
cell,2,3:3:8,6,32,1101,-1,270.8318294913448,0.027555735908268
cell,2,3:3:8,7,32,0111,1,264.82275362792296,0.0269443435624858
cell,2,3:3:8,8,10,0111,-1,260.85563535223866,0.0265407098251702
cell,2,3:3:8,9,20,1011,-1,254.7458960746858,0.0259190754983748
cell,2,3:3:8,10,2,1011,1,253.8871380991946,0.0258317013222072
ring_node,2,3:3:8,1,0,q=4,site=2,651.2589863164667,0.0662622287362882
ring_node,2,3:3:8,2,0,q=3,site=0,513.7995641558258,0.052276444486794
ring_node,2,3:3:8,3,3,q=2,site=0,502.2934599232178,0.0511057579756767
ring_node,2,3:3:8,4,3,q=3,site=1,451.7444982801359,0.0459626629410569
ring_node,2,3:3:8,5,0,q=3,site=1,416.9331678687974,0.0424207903730064
