schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_circle_relational_audit_packet_v1,0,circle_audit_packet_id,string,yes,packet identity,,d03f9ff5291d45644dc38b62057794513bb505dc82bf3becb70e081319d11249
aod_circle_relational_audit_packet_v1,1,radius_report_packet_id,string,yes,declared geometry/report radius,,47d20cc8b00f20a267766f4dd022d372df846eb321c0ba9eff4283c94742bb03
aod_circle_relational_audit_packet_v1,2,circumference_trace_packet_id,string,yes,independent circumference trace,,a24cfb785f834d5e45dda829535c46e156345d38c2e83fb4374d6d0ea8f0eeeb
aod_circle_relational_audit_packet_v1,3,area_trace_packet_id,string,yes,independent area trace,,22695c77dfe3a6294669d7ce1ee86713714a167fa2b08a19150d05dbf00372dc
aod_circle_relational_audit_packet_v1,4,C_num,integer,yes,circumference rational numerator,,3431f7f52e049c8569b94284f7f0902e751c39298564dad16540b6bca23ce030
aod_circle_relational_audit_packet_v1,5,C_den,positive_integer,yes,circumference rational denominator,,95db25ff6cd0cb44f4ec099bb0539e94fc3c3c1795d39b4e6a8450c936cf59c7
aod_circle_relational_audit_packet_v1,6,r_num,integer,yes,radius rational numerator,,7fab757a80d8b85fc22a498df5fbc262b8a541990425db0b97838a042def844f
aod_circle_relational_audit_packet_v1,7,r_den,positive_integer,yes,radius rational denominator,,e865df0c35fd8c0d452a933c8e92ff1aa8c39220ea96207380e3c57543005684
aod_circle_relational_audit_packet_v1,8,A_num,integer,yes,area rational numerator,,ae593d408ba1eb69b2ddda6360957b6bec4eb4effb9a1dca0d187ad3bffdb7c8
aod_circle_relational_audit_packet_v1,9,A_den,positive_integer,yes,area rational denominator,,261b45e01d1e34bcea1b7abb9c294a535fd6a4112e68ee8874a683e64fb2adfb
aod_circle_relational_audit_packet_v1,10,R_CA_num,integer,yes,exact Cr-2A residual numerator,,402b9b6300ac2421db2dcffd3e4cc53239a8c9996ff29811aa5ed0ebd8de8495
aod_circle_relational_audit_packet_v1,11,R_CA_den,positive_integer,yes,exact residual denominator,,69751b4828f2829cfb660cb129611275c173c9a1eca5a7781c98ea1a4f41a12f
aod_circle_relational_audit_packet_v1,12,zero_identity_status,enum,yes,zero is audited not imposed,audited_result_not_assumed,3c0606b29fc59ae09ff11a9f6daab078e0694f5f20e4a65f6d48835bd66280a1
aod_circle_relational_audit_packet_v1,13,pi_report_status,enum,yes,dimensionless report/refinement lane,downstream_geometry_report,9bb05b59948be720c111de91d85ae97d5297445015a4222c9f5804369b6b6fac
aod_circle_relational_audit_packet_v1,14,packet_sha256,sha256,yes,canonical packet hash,,828a01b18a74c4adcc77324126f8380889e8e0397950ec5a59f21010bf02aa94
