schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_cs_sheddic_drive_temporal_reference_packet_v1,0,reference_packet_id,string,yes,packet identity,,f968030563487fcec79aab15a3c1df02e71fa6d030e59561cc227b7c3b27f4c3
aod_cs_sheddic_drive_temporal_reference_packet_v1,1,cs_occurrence_id,string,yes,Cs-scoped occurrence,,3b56fd3682a3332287e524e46ac4b7989bf3a80cc2a17961e9e215a0d643ecc7
aod_cs_sheddic_drive_temporal_reference_packet_v1,2,cs_sadar_packet_id,string,yes,Cs recurrent SADAR flow,,82d3525be25bdb0c28aff3f302d5c0ac8fe7d6b5647493f1774de165b5f6edb6
aod_cs_sheddic_drive_temporal_reference_packet_v1,3,drive_sadar_packet_id,string,yes,declared sheddic-drive SADAR flow,,811bbc4345843fe2eb1d0b6a6db3a72c7aea6536f50f2aa735e0dc4c2ccdc775
aod_cs_sheddic_drive_temporal_reference_packet_v1,4,sheddic_flux_packet_id,string,yes,state-transfer exchange flux,,f84f36fae4e06678357bcb150c33dc48c7ab0827460443b540a6ba3570de0efb
aod_cs_sheddic_drive_temporal_reference_packet_v1,5,primitive_phase_lock_packet_id,string,yes,native relational lock,,f60c124c95a5eba83d01cc91d41ec221e6008904bd1114f155cf4d5db4d88be2
aod_cs_sheddic_drive_temporal_reference_packet_v1,6,native_reference_period_id,string,yes_when_locked,primitive relational period,,d1314724d5d5f9a8145b2ef022a00e8c5817971ec6be5357923934d37fb1bb39
aod_cs_sheddic_drive_temporal_reference_packet_v1,7,physical_drive_label_status,enum,yes,microwave/clock terminology attaches downstream,downstream_metrology_only,e9373070fc6425987ccc5ab62fe30304b148d00e2f7618b44039c5086bd0fcc3
aod_cs_sheddic_drive_temporal_reference_packet_v1,8,SI_reference_card_status,enum,yes,optional metrological realization,inactive;declared;active,2565b056cc959efc9f6f51e541cbe476d62e205a616351f6b2e9d30c199819fb
aod_cs_sheddic_drive_temporal_reference_packet_v1,9,bips_per_second_status,enum,yes,no native identity,not_a_native_definition,5b11cf21708282622216c3940f231dc5d6a7693da2c894a609511f912f5fdbba
aod_cs_sheddic_drive_temporal_reference_packet_v1,10,target_value_read_status,enum,yes,target quarantine,not_read,44c689c4a8cfe6e99376d94191e1235868f74c73db72f896275d9ebd8b6730ee
aod_cs_sheddic_drive_temporal_reference_packet_v1,11,packet_sha256,sha256,yes,canonical packet hash,,5b0b487727d5cf37ae141caa192fdf55c1d84c64c75a2d9ebf7501242ede1f3b
