schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_duon_pressure_packet_v1,0,pressure_packet_id,string,yes,packet identity,,3fd7a738f75d772b527833356ee2dbc9a2249701279b9bb10ce54a88a2416566
aod_duon_pressure_packet_v1,1,duon_current_id,string,yes,returned-current relation,,5a889c1f1b5acd7b8788f6762bf8da9e07db759a72048faf24c4214d1d77f9be
aod_duon_pressure_packet_v1,2,boundary_id,string,yes,declared boundary,,787dcc345a7a6c23e7b110eeee7eaf2294faf1bff07c046d9e64077ccc23a5e9
aod_duon_pressure_packet_v1,3,window_id,string,yes,declared window,,1838d12733dbab187e57c42ee250b1629a278231718ac1eb34f584d32ffe0115
aod_duon_pressure_packet_v1,4,RD_packet_id,string,yes,path-conditioned RD source,,16ab38be513a3a1110d24f6d0ff15d7a5c014cd576d6c1c8f916e3b482504b9e
aod_duon_pressure_packet_v1,5,RCD_packet_id,string,yes,coupled RD/asymmetric-return source,,f343e4b42be9537d9ffc3081a9d723326134224a9cfbd9b7aaac8e7c8961e3bc
aod_duon_pressure_packet_v1,6,rhoD_omega_num,integer,yes,window participation numerator,,cff80d9a7047d611a7af00e56521d6182a1f66e6a1eb319b84c5aaccbcac3b3d
aod_duon_pressure_packet_v1,7,rhoD_omega_den,positive_integer,yes,window participation denominator,,d224c2d8b6a0e0356870ada88571d1cad9d84df936c7f349bcf52090b2e5c277
aod_duon_pressure_packet_v1,8,C_num,integer,yes,coupling coefficient numerator,,c745d33068929aee9e6f6b7a12a374b4013ef860fcf616caf1ffcf125ca84ede
aod_duon_pressure_packet_v1,9,C_den,positive_integer,yes,coupling coefficient denominator,,c535deb22af165610a1b0dc2501dd4892c4bdd55cae2603bf5b0fc06ed043c47
aod_duon_pressure_packet_v1,10,pD_num,integer,yes,duonic pressure numerator,,233277d07a9922bb2051de77595a6821f5103a91ea985a66f194303d3fde62ee
aod_duon_pressure_packet_v1,11,pD_den,positive_integer,yes,duonic pressure denominator,,4db985cc722eea7b5036a59a399460eb9d01ddb8bd17ded5bd9a48c4e7402d78
aod_duon_pressure_packet_v1,12,cadence_status,enum,yes,pressure is not cadence,not_inferred_from_pressure,636a0d92445b6fedb08e577e3b05d1fcf5eb34e9f489ee489b3ba4f45d719040
aod_duon_pressure_packet_v1,13,packet_sha256,sha256,yes,canonical packet hash,,ec17fedfc3c6b93d7293d26b2b08cfff9e55f0bec51a40844c3b206fd3106133
