schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_element_transition_relational_atlas_schema_v1,0,element_Z,integer,yes,element identity,,5b2bb68c4d6b7bc6a75ca66e38abf8b70e8cc5274388f93b6de949d1929d2678
aod_element_transition_relational_atlas_schema_v1,1,isotope_A,integer,yes,isotope identity,,5cea231663f8eaf3af83d41c15e5713e0f8ec4b20385c1b28247249158ab18f5
aod_element_transition_relational_atlas_schema_v1,2,state_id,string,yes,native state packet,,49c54418a7ecefa5e0e082e04d086855a079489fb28a8efa02aab43aced72082
aod_element_transition_relational_atlas_schema_v1,3,transition_id,string,yes,native transition occurrence,,bf5e8842bfbbbdaaf68855cae2bca9532e2ab3f07b4639712ef3ea18d2319dca
aod_element_transition_relational_atlas_schema_v1,4,subject_sadar_packet_id,string,yes,element transition flow,,330547b145356c7766cde6f2cd4d2a9b18ef363705f7c057aeec2adf0144ccd8
aod_element_transition_relational_atlas_schema_v1,5,drive_sadar_packet_id,string,yes,declared sheddic-drive reference flow,,ac48d0581742bd5deb00a5d5c1a3ba1a2dd83f2e0595c84cc0d8769e3df161a0
aod_element_transition_relational_atlas_schema_v1,6,phase_lock_packet_id,string,yes,primitive relational lock,,2c09f2f6ee0d01ba67e9dd71a04b20cb257582a2ddf9bc4ad8e33e23ad082ae3
aod_element_transition_relational_atlas_schema_v1,7,native_period_ratio_num,integer,yes_when_compared,exact ratio numerator,,bdc6829ffe60f2214da462375063c07a89b79c99551724bfd1531d8b88aab3c6
aod_element_transition_relational_atlas_schema_v1,8,native_period_ratio_den,positive_integer,yes_when_compared,exact ratio denominator,,25a004e5290e886cbac0eaac914cb3cc51cc1452cfc27ee0de19b3e831050cd0
aod_element_transition_relational_atlas_schema_v1,9,reference_protocol_id,string,yes,one shared relational reference protocol,,4c5892f26f2d692629b38e2251127e5f4597d9c0376102c2f26b0e0361ced0d6
aod_element_transition_relational_atlas_schema_v1,10,private_bip_to_second_coefficient_status,enum,yes,per-element conversion forbidden,forbidden,3ac2e64b8d178e945a7d7d9090e5430b6c791cc7883c66607345c492f1ca1699
aod_element_transition_relational_atlas_schema_v1,11,optional_SI_report_status,enum,yes,downstream only,inactive;available_after_reference_lock,5138a058d04d0214de7229ddeb0a7886155b51bfa852f31cca2ef5abb9a4d47b
aod_element_transition_relational_atlas_schema_v1,12,native_packet_sha256,sha256,yes,native packet lock,,43f0ca6e3ac20b295194bd034ddd64156f56ced1b505580f16cac7427ce8e09b
