schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_hydrogen_balmer_relational_ratio_packet_v1,0,ratio_packet_id,string,yes,packet identity,,ba28138bae758af8390d286d43e2072205580692d18f401a94383be1490d1578
aod_hydrogen_balmer_relational_ratio_packet_v1,1,transition_ids,list[string],yes,3->2;4->2;5->2;6->2,,e1857faf197013cb1be0f5e9f24e06672db8166c6eefd51cb245d5ece25c469a
aod_hydrogen_balmer_relational_ratio_packet_v1,2,native_phase_lock_packet_ids,list[string],yes,four frozen native relational periods,,66375a165fea5ac669b2eb225e1508f3f2f4d6fe5632f19b3323d40fd4c3ca6b
aod_hydrogen_balmer_relational_ratio_packet_v1,3,native_period_ratio_integers,list[positive_integer],yes,native derived ratio,,aaec321ed8536b6958a6239323d7de957f1942189eade355b2f6df5e610a2359
aod_hydrogen_balmer_relational_ratio_packet_v1,4,comparison_period_ratio_integers,list[positive_integer],yes,downstream exact ratio card,1512;1120;1000;945,4f6709bf1108c3644e0c56947a18bcd90d844397f37313349565574366c11b6c
aod_hydrogen_balmer_relational_ratio_packet_v1,5,comparison_frequency_ratio_integers,list[positive_integer],yes,downstream exact ratio card,500;675;756;800,865eba05942a971c1976beb13d5899458d3af4a88e9631be16f6eef94a00f064
aod_hydrogen_balmer_relational_ratio_packet_v1,6,ratio_cross_multiplication_status,enum,yes,exact ratio audit,pending;passed;mismatch;unresolved,de5a55486ae964b6eb45e1678a8eaa315521600469aba5d4a2ef787ecc4081e9
aod_hydrogen_balmer_relational_ratio_packet_v1,7,SI_unit_status,enum,yes,dimensionless before optional report,not_required,96955f7abed5cc65ab29849652ee4205eac04cba18555beb80df3ccadc476109
aod_hydrogen_balmer_relational_ratio_packet_v1,8,target_value_read_status,enum,yes,target card joins after native packet freeze,not_read_during_generation,3ebcca0d27c0514c31447f41ef8683e24ba9a4ee24db5cf02eb9e2c46b84cbe4
aod_hydrogen_balmer_relational_ratio_packet_v1,9,packet_sha256,sha256,yes,canonical packet hash,,b193cb3fbbfbb66dc5b1209811107338b244739e84c3be7b49bf27c82a247ce9
