schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_rd_path_distribution_packet_v1,0,rd_distribution_id,string,yes,packet identity,,39a1476b9ce675348d0d836679102ff51af97aae71818cbdecfa7d5fe5c0047a
aod_rd_path_distribution_packet_v1,1,dec_path_family_id,string,yes,admitted exact path family,,59f024d40ca2fe13bb348d4ca0bf272182a8908d950f404b7bdc56686a83b7bb
aod_rd_path_distribution_packet_v1,2,path_id,string,yes,individual path,,e5eabbf99b1f664fc3adf808737c220a1c609eca947b225995aa1c8d674cc92f
aod_rd_path_distribution_packet_v1,3,path_probability_num,integer,yes,exact path probability numerator,,1bf0955409c89a083b7557e7959dab6eeeb9e3368f640d534d8823a6ec4a05d8
aod_rd_path_distribution_packet_v1,4,path_probability_den,positive_integer,yes,exact path probability denominator,,b3c4b741dd63ffb45c1431ccb26129024d3c00466ac9baabafd80af1cdca8abe
aod_rd_path_distribution_packet_v1,5,RD_value_num,integer,yes,path-conditioned RD numerator,,4d06cdc66dd57d9ed727f477da38af42c67b46b9d456fc9845e5485e44e86e96
aod_rd_path_distribution_packet_v1,6,RD_value_den,positive_integer,yes,path-conditioned RD denominator,,0127450f18a67574f0d80faa9ef52da2aa4d0d823f8a5fc2af7b30069932a2cf
aod_rd_path_distribution_packet_v1,7,RCD_packet_id,string,yes,formed after RD,,20949ae2a67b5737f3a5c177517be3df1d48fab97879e587774e54cc990bb711
aod_rd_path_distribution_packet_v1,8,distribution_mass_status,enum,yes,exact distribution normalization,passed;failed,8cc42c5eceafc7bf26c9c8b6e4f22d5a84a0232082aee548c02169be9ddd89b6
aod_rd_path_distribution_packet_v1,9,temporal_measurement_status,enum,yes,RD is not itself time,path_conditioned_observable_only,54819b88d84c7d33d4b17939c94bcd0e84e6721ef815c69896ee3d775c7c7b00
aod_rd_path_distribution_packet_v1,10,packet_sha256,sha256,yes,canonical packet hash,,7a37b093a913c38fcb436e6056839fe507b1dcb8b720b3f100548ae131882de9
