schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_relational_temporal_type_registry_v1,0,bip,executed_directed_beat_token,yes,one admitted executed or propagated directed beat; not a CSV row count and not temporal magnitude,,bcd8e3e6bcb190ba7ad34c6499766fd6c4ae4df1d8e47faf0cd44deb549e5687
aod_relational_temporal_type_registry_v1,1,trace_count,nonnegative_integer,yes,combinatorial execution/path length or resolution,,7485dd4e8ae9f3612f1f59faeda49826c68e951a55775f043182ade26527854f
aod_relational_temporal_type_registry_v1,2,monon,cycle_class,yes,primitive completed outbound-hinge-return cycle class,,f8b58a6ce823c15aaf8e39176c9b4ea56b793af715ef403854788b079625ca6d
aod_relational_temporal_type_registry_v1,3,minimal_direct_witness_bip_count,positive_integer,yes,shortest direct monon witness contains one outbound and one inbound executed bip,2,33c73c753ee717463ee27a1b7c6d310da2e5341203ea10096a89855a5fbb62a2
aod_relational_temporal_type_registry_v1,4,minimal_witness_temporal_status,enum,yes,minimal witness is not a universal monon duration,witness_only_not_duration,aa1dc81cb982c3e584be95fcc92ac48e163cf2ac1ae33db922208b930a6ef6b1
aod_relational_temporal_type_registry_v1,5,duon,returned_current_relation,yes,returned-current form carried by the completed cycle,,9c4a7b94e491ce2a6baec3677d87a1a7e214d4a129836c5c4256e0bb1003e250
aod_relational_temporal_type_registry_v1,6,C_n,support_enclosure_object,yes,support/enclosure object; not a temporal unit,,1d77c2a4c6357927068d66a2795cf8cba4a6c7cbc0d227dced54ea04cae14609
aod_relational_temporal_type_registry_v1,7,L,enclosure_or_window_qualifier,yes,outer/shared enclosure qualifier,,d4fda3e42814c2ed488a0897cd842003b4f2c9ae6f885ddabd10dea76e1a3a94
aod_relational_temporal_type_registry_v1,8,RD,path_conditioned_accessor,yes,reflection duration accessor on an admitted path,,f33c8bd99f75e3df5f51a2369af88c0de292701c279bbc6144043003b1d24e50
aod_relational_temporal_type_registry_v1,9,RCD,coupled_relation,yes,RD coupled to asymmetric return,,8b876186084d845da980a6a52c0872fc528ed4efd651c5e7c1eafcdca6a5ebfb
aod_relational_temporal_type_registry_v1,10,rhoD_omega,window_participation,yes,window-clipped current participation,,27f8f0c6525b285587835e99821847b8b2e8dc4ce11afbe53ac8c51fc788b5c6
aod_relational_temporal_type_registry_v1,11,pD,duonic_pressure,yes,local coupling load; not cadence,,7e2027a828505d05156a7511d6dd9195d77a3bda0625ad9c8c2766bb6ce63889
aod_relational_temporal_type_registry_v1,12,SADAR,directed_boundary_current_flow,yes,pressure-weighted returned-current flow,,010292f8bbe96fcd92d63b5116413cd8ac2f061afb574e7317dd2c95f231ada9
aod_relational_temporal_type_registry_v1,13,temporal_measurement,relational_phase_lock,yes,primitive phase/cadence lock between recurrent SADAR flow packets,,c44a197d2fdd5a2f9bcaac970d7eee22010e0aa2510df24e7d6aaab4b1d2bd18
