schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_sadar_flow_packet_v1,0,sadar_packet_id,string,yes,packet identity,,63a686fad46cedad32fbf32093d66692f7abb7405a914bd655e152e37fe4f03f
aod_sadar_flow_packet_v1,1,boundary_id,string,yes,boundary scope,,1c75e6ad1947acb2c178bef483a3dc9ac1041c1dc157a6a5c7fdeaf31f4c67dc
aod_sadar_flow_packet_v1,2,window_id,string,yes,window scope,,a09a1b349846f99c55c44d70e1b3452d479b3861671f2efb762f0e60392af4b2
aod_sadar_flow_packet_v1,3,event_order_relation_id,string,yes,exact execution order,,1db57a7d7eac39dc5ffbbdd39bddc15c54fc911cbeb64c9f0dca8e8336385e8d
aod_sadar_flow_packet_v1,4,duon_pressure_packet_ids,list[string],yes,local pressure packets,,5389ba71016b93fb4d16feecfd2c6539e172316b51c26a2e4dbcc5a0e8ed5de8
aod_sadar_flow_packet_v1,5,orientation_packet_ids,list[string],yes,directed ADAR orientation values,,8517688b8760980e472b06fb5a286752f6ec5f5b78820996681aa0776601cabb
aod_sadar_flow_packet_v1,6,flow_term_num,list[integer],yes,exact SADAR term numerators,,4d43aebc003ef5786a0dbe96b061c1f7f4a3ade58af5c4086335ab3ec0a71e2f
aod_sadar_flow_packet_v1,7,flow_term_den,list[positive_integer],yes,exact SADAR term denominators,,aacc90d1a3e06d651f9462e11545238532edb474ae681bae1e4939a07a057158
aod_sadar_flow_packet_v1,8,flow_sum_num,integer,yes,exact SADAR sum numerator,,239a5b0c07d7917416a4c3a79d0940fb97f179372b7d154ac61dedec6f62041d
aod_sadar_flow_packet_v1,9,flow_sum_den,positive_integer,yes,exact SADAR sum denominator,,37397ae8a99b9ccefafce35122c8cf62b3c762a486423859413210797de30de2
aod_sadar_flow_packet_v1,10,kernel_weighted_status,enum,yes,distinguish direct SADAR from expected kernel-weighted SADAR,direct;kernel_weighted_expected,acdc6ba28b394e46044643da4faf967101a0376f2624053597b4676e4bff515a
aod_sadar_flow_packet_v1,11,trace_count_role,enum,yes,trace count does not define flow magnitude,execution_structure_only,7d176d5f4d2e89a94c77f8d6902da76960d583498845ee28734c96c3efca1040
aod_sadar_flow_packet_v1,12,recurrence_status,enum,yes,flow recurrence state,not_evaluated;candidate;primitive;nonprimitive;unresolved,f843757b439f63d45759206ca7f697b31be8a523037c5c1c10d9b44792fa2c4c
aod_sadar_flow_packet_v1,13,packet_sha256,sha256,yes,canonical packet hash,,bf2a537d527d47f6aacd61a97ed48383fd460546595c245c2f294890e5110763
