schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_sadar_phase_lock_packet_v1,0,phase_lock_packet_id,string,yes,packet identity,,76c7096b0adf6f645b655251bfd89328f2e4188ff28648ef789c1f1497043aef
aod_sadar_phase_lock_packet_v1,1,subject_sadar_packet_id,string,yes,subject flow,,1c749f453b28066c108b7a3dd45296da19ac5f271a9cdd812bfe79aa891d6241
aod_sadar_phase_lock_packet_v1,2,reference_sadar_packet_id,string,yes,reference flow,,b4a7b0b61d488a6960468bddc1333994eb4b5722523b06042a5c1860752647c2
aod_sadar_phase_lock_packet_v1,3,subject_recurrence_count,positive_integer,yes,coprime lock count m,,8ca8d939a0141c98501693772f19530f4d4616e1a31a7bab80fa753dc4902d96
aod_sadar_phase_lock_packet_v1,4,reference_recurrence_count,positive_integer,yes,coprime lock count n,,06fd4db6323108f51fb9d1874adc4f647ca798bedf46989add295342f5245deb
aod_sadar_phase_lock_packet_v1,5,gcd_count,positive_integer,yes,must equal one for primitive lock,1,a94e3a902978e8548c70f7fe7f747c52f37ccb6d613b080d323a4be45d6703e8
aod_sadar_phase_lock_packet_v1,6,proper_prefix_lock_count,nonnegative_integer,yes,primitive-lock minimality audit,0_for_primitive_lock,9f1a6f3970708577a8c1627b4b62cb60a75d1976515e78025595ddae5375ba2e
aod_sadar_phase_lock_packet_v1,7,phase_residual_num,integer,yes,exact residual numerator,,b43345b7af359c58acc6a327171bcc7d0ec678797f0327d701adb9d34d8c250e
aod_sadar_phase_lock_packet_v1,8,phase_residual_den,positive_integer,yes,exact residual denominator,,c0eebe28346ddc8600effea2f3ed327ba8e7c8fccb26c9d82e83f430b10451df
aod_sadar_phase_lock_packet_v1,9,close_status,enum,yes,RelLock closure,passed;failed;unresolved,24f98cd4845b0c5a744eaf967a74616d9a2926d284f08fc177492c721f63ea3d
aod_sadar_phase_lock_packet_v1,10,primitive_lock_status,enum,yes,no proper prefix lock,passed;failed;unresolved,032344b9336a588c7ebf5ef11b2e4c48dcdfc076934b13036035b1e11e9d4a71
aod_sadar_phase_lock_packet_v1,11,temporal_ratio_num,positive_integer,yes_when_passed,n,,6298122e1d9d21eca1b3addacc38be988acd811c6714105efc1bf9b390200c34
aod_sadar_phase_lock_packet_v1,12,temporal_ratio_den,positive_integer,yes_when_passed,m,,73690231acf9dc6498e6b3c860c7a157f3eb19b287d49665ecad6cbd6998c21b
aod_sadar_phase_lock_packet_v1,13,packet_sha256,sha256,yes,canonical packet hash,,dd79fe592ab97c1473a03fab44367c828567bd3575c09cdb77a7632087f107d4
