schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_sheddic_exchange_flux_packet_v1,0,sheddic_flux_packet_id,string,yes,packet identity,,5ba8a43b2e6a122fdb7529c7e0a245e0880dbe7a95ca6812b6fba11c2c72d7e5
aod_sheddic_exchange_flux_packet_v1,1,source_sadar_packet_id,string,yes,source directed flow,,84fdc305bb9f0237af85371b1d454823aa1e67ce4b17bb9ea703612174915403
aod_sheddic_exchange_flux_packet_v1,2,target_sadar_packet_id,string,yes,receiving directed flow,,8aad03960bef94f99c307c68848b7d5bbe1c4a7b9524bf1876d515d8fd9d43ba
aod_sheddic_exchange_flux_packet_v1,3,sheddic_channel_id,string,yes,declared sheddic exchange channel,,04ff40f0116048184890db456b06b46d8f9a990c85da12c270ad23252cdfe878
aod_sheddic_exchange_flux_packet_v1,4,sheddic_exchange_source,enum,yes,source class for transfer,surplus_routing;externally_driven_exchange;balanced_return_exchange;reclosure_exchange,90046f9627cde1c3cc25bf7183c48b55bbce92042d87ddf0d84d5d6823a2f0fa
aod_sheddic_exchange_flux_packet_v1,5,capacity_surplus_num,integer,yes,X_shedding scalar surplus numerator,,c3262fd8493eaaebf8f83f907d33859c03376873cab6188223b76239910ef7e5
aod_sheddic_exchange_flux_packet_v1,6,capacity_surplus_den,positive_integer,yes,X_shedding scalar surplus denominator,,ad669c262adc30ee11701ed87dfc47cf2dc04ed67bec9eb848de23974ab1d9fb
aod_sheddic_exchange_flux_packet_v1,7,flux_num,integer,yes,directed sheddic flux numerator,,f127fa63fbc14798d2c7869a0817dcf9c23a3ccb50deea4220a71dc6e0b10a57
aod_sheddic_exchange_flux_packet_v1,8,flux_den,positive_integer,yes,directed sheddic flux denominator,,6351a89770c5a8f8a3068bff303471cbf3a5e816bd28dd25b0059535de9c16ec
aod_sheddic_exchange_flux_packet_v1,9,zero_surplus_nonzero_flux_admission,enum,yes,requires declared non-surplus exchange source,allowed_only_for_declared_exchange_source,56b97b3693f15aa8932852639174ff654af36248adee331159bffdf786b85bd7
aod_sheddic_exchange_flux_packet_v1,10,physical_interpretation_status,enum,yes,physical label attaches downstream,native_sheddic_only,c2a27ad81d06078dac4ec3691176226e72c2c69db079071a291b288b793bbcc9
aod_sheddic_exchange_flux_packet_v1,11,packet_sha256,sha256,yes,canonical packet hash,,6145013777cc3c1790b522a4c5777c364a8126434265914303c16f739ab5cffa
