schema_id,field_order,field,type,required,role,allowed_values,schema_row_sha256
aod_tau_survival_hazard_packet_v1,0,tau_survival_packet_id,string,yes,packet identity,,e180c3f700ccfd398f754dba9c80f4304e3cc44e279219de110f2bf693bc1f06
aod_tau_survival_hazard_packet_v1,1,tau_occurrence_id,string,yes,native Tau support occurrence,,92c5dbcdab4ccc581e4a800185c937db4f9a62ee74b440922c309e5e94904e40
aod_tau_survival_hazard_packet_v1,2,reference_sadar_packet_id,string,yes,reference recurrent flow,,2a1f6a0247a666745ccf757c43cfc22476dbefbdba426ec6011297a8508d57a5
aod_tau_survival_hazard_packet_v1,3,reference_interval_index,nonnegative_integer,yes,n reference periods,,0de718ba47dde909a52d285fdfe899266ae5a55218705f7f66ae82072f7f4e7c
aod_tau_survival_hazard_packet_v1,4,survival_num,integer,yes,exact survival probability numerator,,1f1ce4686893b805699add57c722536b154dbe3bd47593618eb5e222dbec359e
aod_tau_survival_hazard_packet_v1,5,survival_den,positive_integer,yes,exact survival probability denominator,,ed3d9b607bd009f28475ecbed186535d62488c3bc6b1b5d9a58e51c0be195f05
aod_tau_survival_hazard_packet_v1,6,hazard_num,integer,yes,exact conditional hazard numerator,,581375e79b9f1f8c5c8a34f889f9f1149f0d85fe8f33600ae85cd1fa0bea7d73
aod_tau_survival_hazard_packet_v1,7,hazard_den,positive_integer,yes,exact conditional hazard denominator,,06d25c4c2049a2be2503ba6c3127d9d2b58132737c77386b9a0726edb00bbaab
aod_tau_survival_hazard_packet_v1,8,mean_lifetime_ratio_num,integer,yes_when_defined,E[T_tau/T_ref] numerator,,2650fd8481a3612a6042a643b4d20eabefdc3717b26104d62e52ef457a6e7aa0
aod_tau_survival_hazard_packet_v1,9,mean_lifetime_ratio_den,positive_integer,yes_when_defined,E[T_tau/T_ref] denominator,,2e4cae047f9c48e9f17fbfad2f0d3d907d92dcb408681eec7b1db33f03f649f8
aod_tau_survival_hazard_packet_v1,10,fixed_tau_bip_count_status,enum,yes,Tau is not a fixed periodic count,forbidden,a48700d467fdde8b32df4d0e5c77097a12724b9adc478eb05f9fbf3af8718026
aod_tau_survival_hazard_packet_v1,11,target_value_read_status,enum,yes,target quarantine,not_read,ca04e78a4583923745bc39e88e723a56b8a37b04c621121941b7e35ed5473a68
aod_tau_survival_hazard_packet_v1,12,packet_sha256,sha256,yes,canonical packet hash,,5a0bc57d33d60cd70c7a14035e2d87dea36aa000d724062b73a992f825b04dae
