t,node,tau_alpha,tau_omega,delay_put,mode_hidden,backlog
0,A,1,0,3,0,1
1,B,1,0,2,0,2
2,-,0,0,0,0,2
3,-,0,-2,0,0,0
4,C,-1,0,2,0,1
5,A,1,0,2,0,2
6,B,-1,1,2,0,2
7,-,0,-1,0,0,1
8,C,-1,1,1,0,1
9,-,0,1,0,0,0
10,A,1,0,4,0,1
11,B,1,0,3,0,2
12,C,1,0,1,0,3
13,-,0,-1,0,0,2
14,A,-1,-2,1,0,1
15,B,1,1,1,0,1
16,C,1,-1,2,0,1
17,-,0,0,0,0,1
18,-,0,-1,0,0,0
19,A,1,0,2,0,1
20,B,1,0,3,1,2
21,-,0,-1,0,1,1
22,-,0,0,0,1,1
23,-,0,-1,0,1,0
24,-,0,0,0,1,0
25,-,0,0,0,1,0
26,-,0,0,0,1,0
27,-,0,0,0,1,0
28,-,0,0,0,1,0
29,-,0,0,0,1,0
30,-,0,0,0,1,0
31,C,-1,0,4,1,1
32,-,0,0,0,1,1
33,A,-1,0,1,1,2
34,-,0,1,0,1,1
35,B,1,1,1,1,1
36,-,0,-1,0,1,0
37,-,0,0,0,1,0
38,-,0,0,0,1,0
39,-,0,0,0,1,0
40,C,-1,0,2,1,1
41,-,0,0,0,1,1
42,-,0,1,0,1,0
43,-,0,0,0,1,0
44,-,0,0,0,1,0
45,A,-1,0,4,1,1
46,-,0,0,0,1,1
47,B,1,0,4,1,2
48,C,-1,0,1,1,3
49,A,1,2,4,1,2
50,-,0,0,0,1,2
51,-,0,-1,0,1,1
52,-,0,0,0,1,1
53,-,0,-1,0,1,0
54,B,-1,0,2,1,1
55,C,-1,0,4,1,2
56,-,0,1,0,1,1
57,-,0,0,0,1,1
58,A,1,0,3,1,2
59,-,0,1,0,1,1
60,-,0,0,0,1,1
61,B,-1,-1,2,1,1
62,C,-1,0,2,1,2
63,-,0,1,0,1,1
64,A,-1,1,3,1,1
65,-,0,0,0,1,1
66,-,0,0,0,1,1
67,-,0,1,0,1,0
68,-,0,0,0,1,0
69,-,0,0,0,1,0
70,-,0,0,0,1,0
71,B,-1,0,2,1,1
72,C,1,0,2,1,2
73,-,0,1,0,1,1
74,-,0,-1,0,1,0
75,-,0,0,0,1,0
76,-,0,0,0,1,0
77,-,0,0,0,1,0
78,-,0,0,0,1,0
79,-,0,0,0,1,0
80,-,0,0,0,1,0
81,-,0,0,0,1,0
82,-,0,0,0,1,0
83,-,0,0,0,1,0
84,-,0,0,0,1,0
85,-,0,0,0,1,0
86,-,0,0,0,1,0
87,-,0,0,0,1,0
88,-,0,0,0,1,0
89,-,0,0,0,1,0
90,A,-1,0,2,1,1
91,B,1,0,1,1,2
92,-,0,0,0,1,0
93,-,0,0,0,1,0
94,-,0,0,0,1,0
95,C,-1,0,2,1,1
96,-,0,0,0,1,1
97,-,0,1,0,1,0
98,-,0,0,0,1,0
99,-,0,0,0,1,0
100,-,0,0,0,1,0
101,A,-1,0,3,1,1
102,B,-1,0,1,1,2
103,-,0,1,0,1,1
104,C,-1,1,2,1,1
105,-,0,0,0,1,1
106,A,-1,1,2,1,1
107,-,0,0,0,1,1
108,B,-1,1,3,1,1
109,-,0,0,0,1,1
110,-,0,0,0,1,1
111,C,-1,1,2,1,1
112,-,0,0,0,1,1
113,-,0,1,0,1,0
114,-,0,0,0,1,0
115,-,0,0,0,1,0
116,A,-1,0,2,1,1
117,-,0,0,0,1,1
118,-,0,1,0,1,0
119,-,0,0,0,1,0
120,-,0,0,0,1,0
121,-,0,0,0,1,0
122,-,0,0,0,1,0
123,B,-1,0,4,1,1
124,-,0,0,0,1,1
125,-,0,0,0,1,1
126,-,0,0,0,1,1
127,C,-1,1,2,1,1
128,-,0,0,0,1,1
129,-,0,1,0,1,0
130,-,0,0,0,1,0
131,-,0,0,0,1,0
132,A,-1,0,2,1,1
133,-,0,0,0,1,1
134,B,-1,1,2,1,1
135,-,0,0,0,1,1
136,-,0,1,0,1,0
137,C,1,0,2,1,1
138,-,0,0,0,1,1
139,-,0,-1,0,1,0
140,A,1,0,2,1,1
141,B,1,0,2,0,2
142,C,1,-1,2,0,2
143,A,-1,-1,3,0,2
144,B,1,-1,2,0,2
145,-,0,0,0,0,2
146,C,1,0,2,0,1
147,A,1,0,2,0,2
148,B,-1,-1,2,0,2
149,-,0,-1,0,0,1
150,C,1,1,2,0,1
151,A,-1,0,1,0,2
152,-,0,0,0,0,0
153,-,0,0,0,0,0
154,B,1,0,3,0,1
155,C,1,0,2,0,2
156,A,1,0,2,0,3
157,B,-1,-2,3,0,2
158,-,0,-1,0,0,1
159,C,1,0,2,0,2
160,-,0,1,0,0,1
161,A,1,-1,1,0,1
162,-,0,-1,0,0,0
163,B,1,0,2,0,1
164,C,1,0,1,1,2
165,A,-1,-2,4,1,1
166,B,-1,0,2,1,2
167,-,0,0,0,1,2
168,-,0,1,0,1,1
169,-,0,1,0,1,0
170,-,0,0,0,1,0
171,-,0,0,0,1,0
172,-,0,0,0,1,0
173,-,0,0,0,1,0
174,C,-1,0,3,1,1
175,A,1,0,4,1,2
176,-,0,0,0,1,2
177,-,0,1,0,1,1
178,-,0,0,0,1,1
179,-,0,-1,0,1,0
180,-,0,0,0,1,0
181,B,-1,0,1,1,1
182,-,0,1,0,1,0
183,-,0,0,0,1,0
184,C,-1,0,3,1,1
185,-,0,0,0,1,1
186,A,-1,0,2,1,2
187,-,0,1,0,1,1
188,-,0,1,0,1,0
189,B,-1,0,4,1,1
190,C,1,0,2,1,2
191,-,0,0,0,1,2
192,-,0,-1,0,1,1
193,-,0,1,0,1,0
194,-,0,0,0,1,0
195,-,0,0,0,1,0
196,-,0,0,0,1,0
197,A,1,0,1,1,1
198,-,0,-1,0,1,0
199,-,0,0,0,1,0
200,-,0,0,0,1,0
201,B,1,0,2,1,1
202,-,0,0,0,1,1
203,-,0,-1,0,1,0
204,C,-1,0,2,1,1
205,-,0,0,0,1,1
206,A,-1,1,2,1,1
207,B,-1,0,2,1,2
208,-,0,1,0,1,1
209,-,0,1,0,1,0
210,-,0,0,0,1,0
211,-,0,0,0,1,0
212,-,0,0,0,1,0
213,-,0,0,0,1,0
214,-,0,0,0,1,0
215,C,-1,0,1,1,1
216,-,0,1,0,1,0
217,-,0,0,0,1,0
218,-,0,0,0,1,0
219,-,0,0,0,1,0
220,A,1,0,3,1,1
221,B,-1,0,2,1,2
222,-,0,0,0,1,2
223,-,0,0,0,1,0
224,C,-1,0,3,1,1
225,-,0,0,0,1,1
226,A,1,0,4,1,2
227,B,-1,1,2,1,2
228,-,0,0,0,1,2
229,C,-1,1,4,1,2
230,-,0,-1,0,1,1
231,-,0,0,0,1,1
232,-,0,0,0,1,1
233,-,0,1,0,1,0
234,-,0,0,0,1,0
235,A,-1,0,1,1,1
236,-,0,1,0,1,0
237,-,0,0,0,1,0
238,-,0,0,0,1,0
239,B,-1,0,1,1,1
240,-,0,1,0,1,0
241,C,-1,0,2,1,1
242,A,-1,0,2,1,2
243,-,0,1,0,1,1
244,-,0,1,0,1,0
245,-,0,0,0,1,0
246,-,0,0,0,1,0
247,-,0,0,0,1,0
248,-,0,0,0,1,0
249,-,0,0,0,1,0
250,-,0,0,0,1,0
251,-,0,0,0,1,0
252,-,0,0,0,1,0
253,B,1,0,3,1,1
254,-,0,0,0,1,1
255,-,0,0,0,1,1
256,C,1,-1,1,1,1
257,A,1,-1,2,0,1
258,B,1,0,1,0,2
259,C,-1,-2,3,0,1
260,A,1,0,3,0,2
261,B,1,0,2,0,3
262,-,0,1,0,0,2
263,-,0,-2,0,0,0
264,C,-1,0,2,0,1
265,A,1,0,2,0,2
266,B,1,1,1,0,2
267,C,1,-2,3,0,1
268,A,1,0,3,1,2
269,-,0,0,0,1,2
270,-,0,-1,0,1,1
271,B,1,-1,2,1,1
272,-,0,0,0,1,1
273,-,0,-1,0,1,0
274,-,0,0,0,1,0
275,-,0,0,0,1,0
276,C,-1,0,2,1,1
277,-,0,0,0,1,1
278,A,-1,1,2,1,1
279,B,-1,0,2,1,2
280,C,1,1,2,1,2
281,-,0,1,0,1,1
282,-,0,-1,0,1,0
